Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
2025/4/6,1,表,0,0,0,FALSE,FALSE,FALSE,濵名壱晴,-,清水快真,左,ストレート,,7,1,インプレー,FALSE,,凡打,ゴロ,二,1,0,,T3
2025/4/6,1,表,0,0,1,FALSE,FALSE,FALSE,濵名壱晴,右,細川太志,左,ストレート,,14,1,ボール,FALSE,,,,,0,0,,
2025/4/6,1,表,1,0,1,FALSE,FALSE,FALSE,濵名壱晴,右,細川太志,左,スライダー,,11,1,ボール,FALSE,,,,,0,0,,
2025/4/6,1,表,2,0,1,FALSE,FALSE,FALSE,濵名壱晴,右,細川太志,左,ストレート,,11,3,ボール,FALSE,,,,,0,0,,
2025/4/6,1,表,3,0,1,FALSE,FALSE,FALSE,濵名壱晴,右,細川太志,左,ストレート,,7,2,見送,FALSE,,,,,0,0,,
2025/4/6,1,表,3,1,1,FALSE,FALSE,FALSE,濵名壱晴,右,細川太志,左,ストレート,,7,2,見送,FALSE,,,,,0,0,,
2025/4/6,1,表,3,2,1,FALSE,FALSE,FALSE,濵名壱晴,右,細川太志,左,ストレート,,4,2,ファール,FALSE,,,,,0,0,,
2025/4/6,1,表,3,2,1,FALSE,FALSE,FALSE,濵名壱晴,右,細川太志,左,ストレート,,4,1,インプレー,FALSE,,単打,ゴロ,中,0,0,,N3
2025/4/6,1,表,0,0,1,TRUE,FALSE,FALSE,濵名壱晴,右,中野心惇,右,スライダー,,12,1,ボール,FALSE,,,,,0,0,,
2025/4/6,1,表,1,0,1,TRUE,FALSE,FALSE,濵名壱晴,右,中野心惇,右,スライダー,,13,1,ボール,FALSE,,,,,0,0,,
2025/4/6,1,表,2,0,1,TRUE,FALSE,FALSE,濵名壱晴,右,中野心惇,右,ストレート,,4,1,ファール,FALSE,,,,,0,0,,
2025/4/6,1,表,2,1,1,TRUE,FALSE,FALSE,濵名壱晴,右,中野心惇,右,ストレート,,5,3,ファール,FALSE,,,,,0,0,,
2025/4/6,1,表,2,2,1,TRUE,FALSE,FALSE,濵名壱晴,右,中野心惇,右,ストレート,,11,1,インプレー,FALSE,,凡打,フライ,三,1,0,,B2
2025/4/6,1,表,0,0,2,TRUE,FALSE,FALSE,濵名壱晴,右,清水翔音,右,ストレート,,14,1,ボール,FALSE,,,,,0,0,,
2025/4/6,1,表,1,0,2,FALSE,TRUE,FALSE,濵名壱晴,右,清水翔音,右,スライダー,,6,1,見送,FALSE,,,,,0,0,,
2025/4/6,1,表,1,1,2,FALSE,TRUE,FALSE,濵名壱晴,右,清水翔音,右,ストレート,,11,3,インプレー,FALSE,,凡打,ゴロ,遊,1,0,,N3
2025/4/6,1,裏,0,0,0,FALSE,FALSE,FALSE,玉村凌大,右,山本優人,右,カーブ,,0,1,ボール,FALSE,,,,,0,0,,
2025/4/6,1,裏,1,0,0,FALSE,FALSE,FALSE,玉村凌大,右,山本優人,右,ストレート,,8,1,見送,FALSE,,,,,0,0,,
