Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
2025/4/7,1,表,0,0,0,FALSE,FALSE,FALSE,西川大智,左,今岡歩夢,左,,,0,0,インプレー,FALSE,,失策,ゴロ,二,0,0,,
2025/4/7,1,表,0,0,0,TRUE,FALSE,FALSE,西川大智,左,古俣　秀,右,ストレート,,11,0,インプレー,FALSE,,犠打,ゴロ,一,1,0,,
2025/4/7,1,表,0,0,1,FALSE,TRUE,FALSE,西川大智,左,新田恭也,左,ストレート,,13,3,ボール,FALSE,,,,,0,0,,
2025/4/7,1,表,1,0,1,FALSE,TRUE,FALSE,西川大智,左,新田恭也,左,ストレート,,13,3,ボール,FALSE,,,,,0,0,,
2025/4/7,1,表,2,0,1,FALSE,TRUE,FALSE,西川大智,左,新田恭也,左,チェンジ,,13,0,ボール,FALSE,,,,,0,0,,
2025/4/7,1,表,3,0,1,FALSE,TRUE,FALSE,西川大智,左,新田恭也,左,ストレート,,6,3,見送,FALSE,,,,,0,0,,
2025/4/7,1,表,3,1,1,FALSE,TRUE,FALSE,西川大智,左,新田恭也,左,ストレート,,6,0,インプレー,FALSE,,単打,フライ,中,1,0,,
2025/4/7,1,表,0,0,2,TRUE,FALSE,TRUE,西川大智,左,南　早羽己,左,カーブ,,5,3,ボール,FALSE,,,,,0,0,,
2025/4/7,1,表,0,1,2,TRUE,FALSE,TRUE,西川大智,左,南　早羽己,左,ストレート,,8,3,見送,FALSE,,,,,0,0,,盗塁成功
2025/4/7,1,表,1,1,2,FALSE,TRUE,TRUE,西川大智,左,南　早羽己,左,ストレート,,7,3,見送,FALSE,,,,,0,0,,
2025/4/7,1,表,1,2,2,FALSE,TRUE,TRUE,西川大智,左,南　早羽己,左,チェンジ,,5,0,インプレー,FALSE,,単打,ゴロ,中,0,2,,P3
2025/4/7,1,表,0,0,1,TRUE,FALSE,FALSE,西川大智,左,川合錬磨,右,ストレート,,13,1,ボール,FALSE,,,,,0,0,,
2025/4/7,1,表,1,0,1,TRUE,FALSE,FALSE,西川大智,左,川合錬磨,右,,,0,1,牽制,FALSE,,,,,0,0,,
2025/4/7,1,表,1,0,1,TRUE,FALSE,FALSE,西川大智,左,川合錬磨,右,チェンジ,,6,1,見送,FALSE,,,,,0,0,,
2025/4/7,1,表,1,1,1,TRUE,FALSE,FALSE,西川大智,左,川合錬磨,右,,,0,1,牽制,FALSE,,,,,0,0,,
2025/4/7,1,表,1,1,1,TRUE,FALSE,FALSE,西川大智,左,川合錬磨,右,ストレート,,12,1,ボール,FALSE,,,,,0,0,,
2025/4/7,1,表,2,1,1,TRUE,FALSE,FALSE,西川大智,左,川合錬磨,右,ストレート,,11,1,空振,FALSE,,,,,0,0,,盗塁成功
2025/4/7,1,表,2,2,1,FALSE,TRUE,FALSE,西川大智,左,川合錬磨,右,ストレート,,2,3,ファール,FALSE,,,,,0,0,,
2025/4/7,1,表,2,2,1,FALSE,TRUE,FALSE,西川大智,左,川合錬磨,右,ストレート,,11,2,ファール,FALSE,,,,,0,0,,
2025/4/7,1,表,2,2,1,FALSE,TRUE,FALSE,西川大智,左,川合錬磨,右,チェンジ,,12,1,ボール,FALSE,,,,,0,0,,
2025/4/7,1,表,3,2,1,FALSE,TRUE,FALSE,西川大智,左,川合錬磨,右,,,0,3,牽制,FALSE,,,,,0,0,,
2025/4/7,1,表,3,2,1,FALSE,TRUE,FALSE,西川大智,左,川合錬磨,右,ストレート,,12,3,インプレー,FALSE,,凡打,フライ,右,1,0,,S5
2025/4/7,1,表,0,0,2,FALSE,TRUE,FALSE,西川大智,左,角尾頼尊,右,ストレート,,1,2,ファール,FALSE,,,,,0,0,,
