Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
2025/4/12,1,表,0,0,0,FALSE,FALSE,FALSE,藤川泰斗,左,楠脇智樹,右,ストレート,,13,1,ボール,FALSE,,,,,0,0,,
2025/4/12,1,表,1,0,0,FALSE,FALSE,FALSE,藤川泰斗,左,楠脇智樹,右,ストレート,,6,1,インプレー,FALSE,,凡打,ゴロ,二,1,0,,S3
2025/4/12,1,表,0,0,1,FALSE,FALSE,FALSE,藤川泰斗,左,加藤遥人,右,ストレート,,12,3,ボール,FALSE,,,,,0,0,,
2025/4/12,1,表,1,0,1,FALSE,FALSE,FALSE,藤川泰斗,左,加藤遥人,右,ストレート,,7,3,見送,FALSE,,,,,0,0,,
2025/4/12,1,表,1,1,1,FALSE,FALSE,FALSE,藤川泰斗,左,加藤遥人,右,ストレート,,1,3,インプレー,FALSE,,凡打,フライ,右,1,0,,S6
2025/4/12,1,表,0,0,2,FALSE,FALSE,FALSE,藤川泰斗,左,亀澤祐貴,右,ストレート,,13,1,ボール,FALSE,,,,,0,0,,
2025/4/12,1,表,1,0,2,FALSE,FALSE,FALSE,藤川泰斗,左,亀澤祐貴,右,ストレート,,7,3,見送,FALSE,,,,,0,0,,
2025/4/12,1,表,1,1,2,FALSE,FALSE,FALSE,藤川泰斗,左,亀澤祐貴,右,ストレート,,7,3,見送,FALSE,,,,,0,0,,
2025/4/12,1,表,1,2,2,FALSE,FALSE,FALSE,藤川泰斗,左,亀澤祐貴,右,ストレート,,14,1,ボール,FALSE,,,,,0,0,,
2025/4/12,1,表,2,2,2,FALSE,FALSE,FALSE,藤川泰斗,左,亀澤祐貴,右,ストレート,,5,2,インプレー,FALSE,,凡打,フライ,右,1,0,,R5
2025/4/12,1,裏,0,0,0,FALSE,FALSE,FALSE,的場洸稀,右,渡部千博,左,ストレート,,8,3,見送,FALSE,,,,,0,0,,
2025/4/12,1,裏,0,1,0,FALSE,FALSE,FALSE,的場洸稀,右,渡部千博,左,ストレート,,7,1,見送,FALSE,,,,,0,0,,
2025/4/12,1,裏,0,2,0,FALSE,FALSE,FALSE,的場洸稀,右,渡部千博,左,ストレート,,11,1,ボール,FALSE,,,,,0,0,,
2025/4/12,1,裏,1,2,0,FALSE,FALSE,FALSE,的場洸稀,右,渡部千博,左,カーブ,,11,1,ボール,FALSE,,,,,0,0,,
