Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
2025/4/12,1,表,0,0,0,FALSE,FALSE,FALSE,水谷光希,右,山本優人,右,カット,,14,1,ボール,FALSE,,,,,0,0,,
2025/4/12,1,表,1,0,0,FALSE,FALSE,FALSE,水谷光希,右,山本優人,右,ストレート,,11,1,ボール,FALSE,,,,,0,0,,
2025/4/12,1,表,2,0,0,FALSE,FALSE,FALSE,水谷光希,右,山本優人,右,ストレート,,4,1,見送,FALSE,,,,,0,0,,
2025/4/12,1,表,2,1,0,FALSE,FALSE,FALSE,水谷光希,右,山本優人,右,ストレート,,13,1,空振,FALSE,,,,,0,0,,
2025/4/12,1,表,2,2,0,FALSE,FALSE,FALSE,水谷光希,右,山本優人,右,ストレート,,13,1,ボール,FALSE,,,,,0,0,,
2025/4/12,1,表,3,2,0,FALSE,FALSE,FALSE,水谷光希,右,山本優人,右,ストレート,,14,2,ボール,FALSE,四球,,,,0,0,,
2025/4/12,1,表,0,0,0,TRUE,FALSE,FALSE,水谷光希,右,竹田龍汰,右,,,0,1,牽制,FALSE,,,,,0,0,,
2025/4/12,1,表,0,0,0,TRUE,FALSE,FALSE,水谷光希,右,竹田龍汰,右,ストレート,,13,1,ボール,FALSE,,,,,0,0,,
2025/4/12,1,表,1,0,0,TRUE,FALSE,FALSE,水谷光希,右,竹田龍汰,右,シュート,,7,2,インプレー,FALSE,,併殺,ゴロ,二,2,0,,
2025/4/12,1,表,0,0,2,FALSE,FALSE,FALSE,水谷光希,右,道下柚希,左,シュート,,8,2,見送,FALSE,,,,,0,0,,
2025/4/12,1,表,0,1,2,FALSE,FALSE,FALSE,水谷光希,右,道下柚希,左,カーブ,,11,3,ボール,FALSE,,,,,0,0,,
2025/4/12,1,表,1,1,2,FALSE,FALSE,FALSE,水谷光希,右,道下柚希,左,ストレート,,2,3,インプレー,FALSE,,凡打,ゴロ,二,1,0,,
2025/4/12,1,裏,0,0,0,FALSE,FALSE,FALSE,二宮伊吹,右,今岡歩夢,左,ストレート,,14,3,ボール,FALSE,,,,,0,0,,
2025/4/12,1,裏,1,0,0,FALSE,FALSE,FALSE,二宮伊吹,右,今岡歩夢,左,ストレート,,5,3,インプレー,FALSE,,凡打,ゴロ,二,1,0,,T3
2025/4/12,1,裏,0,0,1,FALSE,FALSE,FALSE,二宮伊吹,右,三上武流,右,スライダー,,7,1,見送,FALSE,,,,,0,0,,
2025/4/12,1,裏,0,1,1,FALSE,FALSE,FALSE,二宮伊吹,右,三上武流,右,スライダー,,14,1,ボール,FALSE,,,,,0,0,,
2025/4/12,1,裏,1,1,1,FALSE,FALSE,FALSE,二宮伊吹,右,三上武流,右,ストレート,,12,1,ボール,FALSE,,,,,0,0,,
2025/4/12,1,裏,2,1,1,FALSE,FALSE,FALSE,二宮伊吹,右,三上武流,右,ストレート,,6,1,見送,FALSE,,,,,0,0,,
2025/4/12,1,裏,2,2,1,FALSE,FALSE,FALSE,二宮伊吹,右,三上武流,右,ストレート,,6,1,インプレー,FALSE,,単打,ライナー,右,0,0,,W6
2025/4/12,1,裏,0,0,1,TRUE,FALSE,FALSE,二宮伊吹,右,新田恭也,左,ストレート,,14,1,ボール,FALSE,,,,,0,0,,
2025/4/12,1,裏,1,0,1,TRUE,FALSE,FALSE,二宮伊吹,右,新田恭也,左,ストレート,,14,3,ボール,FALSE,,,,,0,0,,盗塁成功
2025/4/12,1,裏,2,0,1,FALSE,TRUE,FALSE,二宮伊吹,右,新田恭也,左,ストレート,,14,3,ボール,FALSE,,,,,0,0,,
2025/4/12,1,裏,3,0,1,FALSE,TRUE,FALSE,二宮伊吹,右,新田恭也,左,ストレート,,4,3,見送,FALSE,,,,,0,0,,
2025/4/12,1,裏,3,1,1,FALSE,TRUE,FALSE,二宮伊吹,右,新田恭也,左,ストレート,,9,1,見送,FALSE,,,,,0,0,,
2025/4/12,1,裏,3,2,1,FALSE,TRUE,FALSE,二宮伊吹,右,新田恭也,左,ストレート,,2,1,インプレー,FALSE,,三塁打,ライナー,右,0,1,,U7
2025/4/12,1,裏,0,0,1,FALSE,FALSE,TRUE,二宮伊吹,右,南　早羽己,左,ストレート,,11,3,ボール,FALSE,,,,,0,0,,
2025/4/12,1,裏,1,0,1,FALSE,FALSE,TRUE,二宮伊吹,右,南　早羽己,左,ストレート,,12,3,ボール,FALSE,,,,,0,0,,
2025/4/12,1,裏,2,0,1,FALSE,FALSE,TRUE,二宮伊吹,右,南　早羽己,左,スライダー,,2,1,インプレー,FALSE,,単打,ライナー,右,0,1,,V5
2025/4/12,1,裏,0,0,1,TRUE,FALSE,FALSE,二宮伊吹,右,川合錬磨,右,ストレート,,14,1,ボール,FALSE,,,,,0,0,,
2025/4/12,1,裏,1,0,1,TRUE,FALSE,FALSE,二宮伊吹,右,川合錬磨,右,スライダー,,4,1,見送,FALSE,,,,,0,0,,
2025/4/12,1,裏,1,1,1,TRUE,FALSE,FALSE,二宮伊吹,右,川合錬磨,右,スライダー,,4,1,インプレー,FALSE,,二塁打,ライナー,左,0,1,,D7
2025/4/12,1,裏,0,0,1,FALSE,TRUE,FALSE,二宮伊吹,右,角尾頼尊,右,ストレート,,5,1,インプレー,FALSE,,単打,ライナー,中,0,1,,H5
2025/4/12,1,裏,0,0,1,TRUE,FALSE,FALSE,二宮伊吹,右,駒田隼大,左,チェンジ,,13,3,ボール,FALSE,,,,,0,0,,
2025/4/12,1,裏,1,0,1,TRUE,FALSE,FALSE,二宮伊吹,右,駒田隼大,左,カーブ,,11,1,ボール,FALSE,,,,,0,0,,
2025/4/12,1,裏,2,0,1,TRUE,FALSE,FALSE,二宮伊吹,右,駒田隼大,左,,,0,1,牽制,FALSE,,,,,0,0,,
2025/4/12,1,裏,2,0,1,TRUE,FALSE,FALSE,二宮伊吹,右,駒田隼大,左,ストレート,,9,1,見送,FALSE,,,,,0,0,,
2025/4/12,1,裏,2,1,1,TRUE,FALSE,FALSE,二宮伊吹,右,駒田隼大,左,ストレート,,9,1,見送,FALSE,,,,,0,0,,
2025/4/12,1,裏,2,2,1,TRUE,FALSE,FALSE,二宮伊吹,右,駒田隼大,左,,,0,3,牽制,FALSE,,,,,0,0,,
2025/4/12,1,裏,2,2,1,TRUE,FALSE,FALSE,二宮伊吹,右,駒田隼大,左,ストレート,,4,3,ファール,FALSE,,,,,0,0,,
2025/4/12,1,裏,2,2,1,TRUE,FALSE,FALSE,二宮伊吹,右,駒田隼大,左,チェンジ,,4,3,インプレー,FALSE,,凡打,フライ,左,1,0,,H5
2025/4/12,1,裏,0,0,2,TRUE,FALSE,FALSE,二宮伊吹,右,久米川貫太,右,ストレート,,9,1,ファール,FALSE,,,,,0,0,,
2025/4/12,1,裏,0,1,2,TRUE,FALSE,FALSE,二宮伊吹,右,久米川貫太,右,ストレート,,2,1,インプレー,FALSE,,単打,ライナー,左,0,0,,I6
2025/4/12,1,裏,0,0,2,TRUE,FALSE,TRUE,二宮伊吹,右,古俣　秀,右,ストレート,,14,1,ボール,FALSE,,,,,0,0,,
2025/4/12,1,裏,1,0,2,TRUE,FALSE,TRUE,二宮伊吹,右,古俣　秀,右,ストレート,,11,1,ボール,FALSE,,,,,0,0,,
2025/4/12,1,裏,2,0,2,TRUE,FALSE,TRUE,二宮伊吹,右,古俣　秀,右,,,0,1,牽制,FALSE,,,,,0,0,,
2025/4/12,1,裏,2,0,2,TRUE,FALSE,TRUE,二宮伊吹,右,古俣　秀,右,ストレート,,12,1,ボール,FALSE,,,,,0,0,,
2025/4/12,1,裏,3,0,2,TRUE,FALSE,TRUE,二宮伊吹,右,古俣　秀,右,ストレート,,8,1,見送,FALSE,,,,,0,0,,
2025/4/12,1,裏,3,1,2,TRUE,FALSE,TRUE,二宮伊吹,右,古俣　秀,右,,,0,1,牽制,FALSE,,,,,0,0,,
2025/4/12,1,裏,3,1,2,TRUE,FALSE,TRUE,二宮伊吹,右,古俣　秀,右,スライダー,,8,1,見送,FALSE,,,,,0,0,,
2025/4/12,1,裏,3,2,2,TRUE,FALSE,TRUE,二宮伊吹,右,古俣　秀,右,チェンジ,,12,1,インプレー,FALSE,,凡打,ゴロ,遊,1,0,,I3
2025/4/12,2,表,0,0,0,FALSE,FALSE,FALSE,水谷光希,右,加納誠琉,右,ストレート,,2,1,インプレー,FALSE,,凡打,ゴロ,二,1,0,,O3
2025/4/12,2,表,0,0,1,FALSE,FALSE,FALSE,水谷光希,右,加納誠琉,右,ストレート,,13,1,空振,FALSE,,,,,0,0,,
2025/4/12,2,表,0,1,1,FALSE,FALSE,FALSE,水谷光希,右,相上征士郎,右,スライダー,,9,1,インプレー,FALSE,,単打,ゴロ,三,0,0,,C2
2025/4/12,2,表,0,0,1,TRUE,FALSE,FALSE,水谷光希,右,相上征士郎,右,カット,,14,3,空振,FALSE,,,,,0,0,,
2025/4/12,2,表,0,1,1,TRUE,FALSE,FALSE,水谷光希,右,相上征士郎,右,シュート,,8,2,見送,FALSE,,,,,0,0,,
2025/4/12,2,表,0,2,1,TRUE,FALSE,FALSE,水谷光希,右,相上征士郎,右,スライダー,,12,1,ボール,FALSE,,,,,0,0,,
2025/4/12,2,表,1,2,1,TRUE,FALSE,FALSE,水谷光希,右,相上征士郎,右,シンカー,,14,1,空振,FALSE,空三振,,,,1,0,,
2025/4/12,2,表,0,0,2,TRUE,FALSE,FALSE,水谷光希,右,越野虎次郎,右,,,0,3,牽制,FALSE,,,,,0,0,,
2025/4/12,2,表,0,0,2,TRUE,FALSE,FALSE,水谷光希,右,越野虎次郎,右,シンカー,,14,3,ファール,FALSE,,,,,0,0,,
