Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
2025/4/13,2,裏,0,0,0,FALSE,FALSE,FALSE,向嶋大輔,右,櫻井伯斗,右,,,0,0,ボール,FALSE,,,,,0,0,,
2025/4/13,2,裏,1,0,0,FALSE,FALSE,FALSE,向嶋大輔,右,櫻井伯斗,右,,,0,0,ボール,FALSE,,,,,0,0,,
2025/4/13,2,裏,2,0,0,FALSE,FALSE,FALSE,向嶋大輔,右,櫻井伯斗,右,,,0,0,ファール,FALSE,,,,,0,0,,
2025/4/13,2,裏,2,1,0,FALSE,FALSE,FALSE,向嶋大輔,右,櫻井伯斗,右,,,0,0,ファール,FALSE,,,,,0,0,,
2025/4/13,2,裏,2,2,0,FALSE,FALSE,FALSE,向嶋大輔,右,櫻井伯斗,右,スライダー,,14,1,空振,FALSE,空三振,,,,1,0,,
2025/4/13,2,裏,0,0,1,FALSE,FALSE,FALSE,向嶋大輔,右,中村康太,右,スライダー,,5,1,見送,FALSE,,,,,0,0,,
2025/4/13,2,裏,0,1,1,FALSE,FALSE,FALSE,向嶋大輔,右,中村康太,右,スライダー,,1,1,ファール,FALSE,,,,,0,0,,
2025/4/13,2,裏,0,2,1,FALSE,FALSE,FALSE,向嶋大輔,右,中村康太,右,スライダー,,9,1,空振,FALSE,空三振,,,,1,0,,
2025/4/13,2,裏,0,0,2,FALSE,FALSE,FALSE,向嶋大輔,右,澤田虹希,左,ストレート,,13,3,ボール,FALSE,,,,,0,0,,
2025/4/13,2,裏,1,0,2,FALSE,FALSE,FALSE,向嶋大輔,右,澤田虹希,左,ストレート,,1,3,ファール,FALSE,,,,,0,0,,
2025/4/13,2,裏,1,1,2,FALSE,FALSE,FALSE,向嶋大輔,右,澤田虹希,左,ストレート,,4,1,ファール,FALSE,,,,,0,0,,
2025/4/13,2,裏,1,2,2,FALSE,FALSE,FALSE,向嶋大輔,右,澤田虹希,左,ストレート,,11,3,ボール,FALSE,,,,,0,0,,
2025/4/13,2,裏,2,2,2,FALSE,FALSE,FALSE,向嶋大輔,右,澤田虹希,左,ストレート,,11,3,ボール,FALSE,,,,,0,0,,
2025/4/13,2,裏,3,2,2,FALSE,FALSE,FALSE,向嶋大輔,右,澤田虹希,左,ストレート,,11,3,ファール,FALSE,,,,,0,0,,
2025/4/13,2,裏,3,2,2,FALSE,FALSE,FALSE,向嶋大輔,右,澤田虹希,左,ストレート,,7,3,ファール,FALSE,,,,,0,0,,
2025/4/13,2,裏,3,2,2,FALSE,FALSE,FALSE,向嶋大輔,右,澤田虹希,左,フォーク,,13,2,空振,FALSE,空三振,,,,1,0,,
2025/4/13,3,表,0,0,0,FALSE,FALSE,FALSE,但馬希遥,右,山田久敬,左,スライダー,,4,1,見送,FALSE,,,,,0,0,,
2025/4/13,3,表,0,1,0,FALSE,FALSE,FALSE,但馬希遥,右,山田久敬,左,ストレート,,4,3,見送,FALSE,,,,,0,0,,
2025/4/13,3,表,0,2,0,FALSE,FALSE,FALSE,但馬希遥,右,山田久敬,左,スライダー,,13,3,空振,FALSE,空三振,,,,1,0,,
2025/4/13,3,表,0,0,1,FALSE,FALSE,FALSE,但馬希遥,右,山川宗慶,右,ストレート,,9,1,インプレー,FALSE,,凡打,ゴロ,遊,1,0,,J3
2025/4/13,3,表,0,0,2,FALSE,FALSE,FALSE,但馬希遥,右,渡部千博,左,ストレート,,11,1,ボール,FALSE,,,,,0,0,,
2025/4/13,3,表,1,0,2,FALSE,FALSE,FALSE,但馬希遥,右,渡部千博,左,ストレート,,12,1,ボール,FALSE,,,,,0,0,,
2025/4/13,3,表,2,0,2,FALSE,FALSE,FALSE,但馬希遥,右,渡部千博,左,ストレート,,2,2,見送,FALSE,,,,,0,0,,
2025/4/13,3,表,2,1,2,FALSE,FALSE,FALSE,但馬希遥,右,渡部千博,左,チェンジ,,7,1,ファール,FALSE,,,,,0,0,,
2025/4/13,3,表,2,2,2,FALSE,FALSE,FALSE,但馬希遥,右,渡部千博,左,チェンジ,,2,3,インプレー,FALSE,,失策,ゴロ,遊,0,0,,H3
2025/4/13,3,表,0,0,2,TRUE,FALSE,FALSE,但馬希遥,右,池邉由伸,左,スライダー,,14,1,ボール,FALSE,,,,,0,0,,
2025/4/13,3,表,1,0,2,TRUE,FALSE,FALSE,但馬希遥,右,池邉由伸,左,,,0,1,牽制,FALSE,,,,,0,0,,
2025/4/13,3,表,1,0,2,TRUE,FALSE,FALSE,但馬希遥,右,池邉由伸,左,スライダー,,8,1,見送,FALSE,,,,,0,0,,
2025/4/13,3,表,1,1,2,TRUE,FALSE,FALSE,但馬希遥,右,池邉由伸,左,ストレート,,7,3,インプレー,FALSE,,失策,ゴロ,投,0,0,,M2
2025/4/13,3,表,0,0,2,TRUE,FALSE,FALSE,但馬希遥,右,佐藤隼太,右,スライダー,,5,1,ファール,FALSE,,,,,0,0,,
2025/4/13,3,表,0,1,2,TRUE,TRUE,FALSE,但馬希遥,右,佐藤隼太,右,スライダー,,14,1,ボール,FALSE,,,,,0,0,,
2025/4/13,3,表,1,1,2,TRUE,TRUE,FALSE,但馬希遥,右,佐藤隼太,右,スライダー,,8,1,ファール,FALSE,,,,,0,0,,
2025/4/13,3,表,1,2,2,TRUE,TRUE,FALSE,但馬希遥,右,佐藤隼太,右,スライダー,,14,1,ボール,FALSE,,,,,0,0,,
