Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
2025/4/13,1,裏,0,0,0,FALSE,FALSE,FALSE,大槇優斗,右,山本優人,右,スライダー,,14,1,ボール,FALSE,,,,,0,0,,
2025/4/13,1,裏,1,0,0,FALSE,FALSE,FALSE,大槇優斗,右,山本優人,右,ストレート,,3,1,インプレー,FALSE,,凡打,ゴロ,遊,1,0,,H3
2025/4/13,1,裏,0,0,1,FALSE,FALSE,FALSE,大槇優斗,右,竹田龍汰,右,カーブ,,11,2,ボール,FALSE,,,,,0,0,,
2025/4/13,1,裏,1,0,1,FALSE,FALSE,FALSE,大槇優斗,右,竹田龍汰,右,スライダー,,4,2,見送,FALSE,,,,,0,0,,
2025/4/13,1,裏,1,1,1,FALSE,FALSE,FALSE,大槇優斗,右,竹田龍汰,右,ストレート,,3,1,インプレー,FALSE,,凡打,ライナー,遊,1,0,,G3
2025/4/13,1,裏,0,0,2,FALSE,FALSE,FALSE,大槇優斗,右,道下柚希,左,カーブ,,13,3,ボール,FALSE,,,,,0,0,,
2025/4/13,1,裏,1,0,2,FALSE,FALSE,FALSE,大槇優斗,右,道下柚希,左,ストレート,,5,0,見送,FALSE,,,,,0,0,,
2025/4/13,1,裏,1,1,2,FALSE,FALSE,FALSE,大槇優斗,右,道下柚希,左,ストレート,,13,3,空振,FALSE,,,,,0,0,,
2025/4/13,1,裏,1,2,2,FALSE,FALSE,FALSE,大槇優斗,右,道下柚希,左,フォーク,,7,3,空振,FALSE,空三振,,,,1,0,,
2025/4/13,2,表,0,0,0,FALSE,FALSE,FALSE,濵名壱晴,右,眞木佳唯斗,右,ストレート,,2,1,インプレー,FALSE,,凡打,ゴロ,投,1,0,,M2
2025/4/13,2,表,0,0,1,FALSE,FALSE,FALSE,濵名壱晴,-,古俣　秀,右,ストレート,,12,0,インプレー,FALSE,,単打,ゴロ,中,0,0,,M3
2025/4/13,2,表,0,0,1,TRUE,FALSE,FALSE,濵名壱晴,右,田畑僚太,右,スライダー,,11,0,ボール,FALSE,,,,,0,0,,
2025/4/13,2,表,1,0,1,TRUE,FALSE,FALSE,濵名壱晴,右,田畑僚太,右,ストレート,,9,1,見送,FALSE,,,,,0,0,,
2025/4/13,2,表,1,1,1,TRUE,FALSE,FALSE,濵名壱晴,右,田畑僚太,右,,,0,1,ボール,FALSE,,,,,0,0,,
2025/4/13,2,表,2,1,1,TRUE,FALSE,FALSE,濵名壱晴,右,田畑僚太,右,ストレート,,12,0,ボール,FALSE,,,,,0,0,,
2025/4/13,2,表,3,1,1,FALSE,TRUE,FALSE,濵名壱晴,右,田畑僚太,右,ストレート,,5,0,インプレー,FALSE,,凡打,フライ,左,1,0,,F5
2025/4/13,2,表,0,0,2,FALSE,TRUE,FALSE,濵名壱晴,右,今岡歩夢,左,スライダー,,4,1,見送,FALSE,,,,,0,0,,
2025/4/13,2,表,0,1,2,FALSE,TRUE,FALSE,濵名壱晴,右,今岡歩夢,左,ストレート,,9,1,見送,FALSE,,,,,0,0,,
2025/4/13,2,表,0,2,2,FALSE,TRUE,FALSE,濵名壱晴,右,今岡歩夢,左,ストレート,,14,1,ボール,FALSE,,,,,0,0,,
2025/4/13,2,表,1,2,2,FALSE,TRUE,FALSE,濵名壱晴,-,今岡歩夢,左,スライダー,,1,3,ファール,FALSE,,,,,0,0,,
2025/4/13,2,表,1,2,2,FALSE,TRUE,FALSE,濵名壱晴,右,今岡歩夢,左,ストレート,,14,1,ボール,FALSE,,,,,0,0,,
2025/4/13,2,表,2,2,2,FALSE,TRUE,FALSE,濵名壱晴,右,今岡歩夢,左,スライダー,,7,3,インプレー,FALSE,,凡打,フライ,右,1,0,,S5
2025/4/13,2,裏,0,0,0,FALSE,FALSE,FALSE,大槇優斗,右,加納誠琉,右,カーブ,,8,1,見送,FALSE,,,,,0,0,,
2025/4/13,2,裏,0,1,0,FALSE,FALSE,FALSE,大槇優斗,右,加納誠琉,右,ストレート,,12,1,ボール,FALSE,,,,,0,0,,
2025/4/13,2,裏,1,1,0,FALSE,FALSE,FALSE,大槇優斗,右,加納誠琉,右,カット,,14,1,ボール,FALSE,,,,,0,0,,
2025/4/13,2,裏,2,1,0,FALSE,FALSE,FALSE,大槇優斗,右,加納誠琉,右,カット,,3,1,インプレー,FALSE,,単打,ゴロ,左,0,0,,E3
2025/4/13,2,裏,0,0,0,TRUE,FALSE,FALSE,大槇優斗,右,相上征士郎,右,,,0,1,牽制,FALSE,,,,,0,0,,
2025/4/13,2,裏,0,0,0,TRUE,FALSE,FALSE,大槇優斗,右,相上征士郎,右,スライダー,,14,1,ボール,FALSE,,,,,0,0,,
2025/4/13,2,裏,1,0,0,TRUE,FALSE,FALSE,大槇優斗,右,相上征士郎,右,スライダー,,9,1,見送,FALSE,,,,,0,0,,
2025/4/13,2,裏,1,1,0,TRUE,FALSE,FALSE,大槇優斗,右,相上征士郎,右,ストレート,,4,3,空振,FALSE,,,,,0,0,,
2025/4/13,2,裏,1,2,0,TRUE,FALSE,FALSE,大槇優斗,右,相上征士郎,右,ストレート,,4,3,ファール,FALSE,,,,,0,0,,
2025/4/13,2,裏,1,2,0,TRUE,FALSE,FALSE,大槇優斗,右,相上征士郎,右,ストレート,,11,1,空振,FALSE,空三振,,,,1,0,,
2025/4/13,2,裏,0,0,1,TRUE,FALSE,FALSE,大槇優斗,右,越野虎次郎,右,ストレート,,5,1,ファール,FALSE,,,,,0,0,,
2025/4/13,2,裏,0,1,1,TRUE,FALSE,FALSE,大槇優斗,右,越野虎次郎,右,ストレート,,14,1,ボール,FALSE,,,,,0,0,,
2025/4/13,2,裏,1,1,1,TRUE,FALSE,FALSE,大槇優斗,右,越野虎次郎,右,スライダー,,4,1,インプレー,FALSE,,単打,ライナー,左,0,0,,F4
2025/4/13,2,裏,0,0,1,TRUE,TRUE,FALSE,大槇優斗,右,藤浦未来洋,右,ストレート,,1,3,インプレー,FALSE,,失策,ゴロ,投,0,0,,
2025/4/13,2,裏,0,0,1,TRUE,TRUE,TRUE,大槇優斗,右,淀川理久,左,ストレート,,2,3,インプレー,FALSE,,犠飛,フライ,中,2,1,,N6
2025/4/13,3,表,0,0,0,FALSE,FALSE,FALSE,濵名壱晴,右,三上武流,右,ストレート,,13,3,ボール,FALSE,,,,,0,0,,
2025/4/13,3,表,1,0,0,FALSE,FALSE,FALSE,濵名壱晴,右,三上武流,右,スライダー,,14,1,ボール,FALSE,,,,,0,0,,
2025/4/13,3,表,2,0,0,FALSE,FALSE,FALSE,濵名壱晴,右,三上武流,右,ストレート,,1,1,インプレー,FALSE,,単打,フライ,中,0,0,,J5
2025/4/13,3,表,0,0,0,TRUE,FALSE,FALSE,濵名壱晴,右,新田恭也,左,ストレート,,6,1,見送,FALSE,,,,,0,0,,
2025/4/13,3,表,0,1,0,TRUE,FALSE,FALSE,濵名壱晴,右,新田恭也,左,,,0,3,牽制,FALSE,,,,,0,0,,
2025/4/13,3,表,0,1,0,TRUE,FALSE,FALSE,濵名壱晴,右,新田恭也,左,,,0,3,牽制,FALSE,,,,,0,0,,
2025/4/13,3,表,0,1,0,TRUE,FALSE,FALSE,濵名壱晴,右,新田恭也,左,スライダー,,9,3,インプレー,FALSE,,併殺,ゴロ,投,2,0,,N2
2025/4/13,3,表,0,0,2,FALSE,FALSE,FALSE,濵名壱晴,右,南　早羽己,左,フォーク,,13,3,ボール,FALSE,,,,,0,0,,
2025/4/13,3,表,1,0,2,FALSE,FALSE,FALSE,濵名壱晴,右,南　早羽己,左,ストレート,,13,3,ボール,FALSE,,,,,0,0,,
2025/4/13,3,表,2,0,2,FALSE,FALSE,FALSE,濵名壱晴,右,南　早羽己,左,ストレート,,5,1,インプレー,FALSE,,失策,ゴロ,一,0,0,,X3
2025/4/13,3,表,0,0,2,FALSE,TRUE,FALSE,濵名壱晴,右,川合錬磨,右,スライダー,,6,1,見送,FALSE,,,,,0,0,,
2025/4/13,3,表,0,1,2,FALSE,TRUE,FALSE,濵名壱晴,右,川合錬磨,右,ストレート,,5,3,インプレー,FALSE,,二塁打,フライ,左,0,1,,H7
2025/4/13,3,表,0,0,2,FALSE,TRUE,FALSE,濵名壱晴,右,角尾頼尊,右,ストレート,,14,1,ボール,FALSE,,,,,0,0,,
2025/4/13,3,表,1,0,2,FALSE,TRUE,FALSE,濵名壱晴,右,角尾頼尊,右,ストレート,,14,1,ボール,FALSE,,,,,0,0,,
2025/4/13,3,表,2,0,2,FALSE,FALSE,TRUE,濵名壱晴,右,角尾頼尊,右,ストレート,,9,1,インプレー,FALSE,,凡打,ゴロ,投,1,0,,N2
2025/4/13,3,裏,0,0,0,FALSE,FALSE,FALSE,大槇優斗,右,渡辺健太郎,右,ストレート,,12,1,ボール,FALSE,,,,,0,0,,
2025/4/13,3,裏,1,0,0,FALSE,FALSE,FALSE,大槇優斗,右,渡辺健太郎,右,スライダー,,14,2,ボール,FALSE,,,,,0,0,,
2025/4/13,3,裏,2,0,0,FALSE,FALSE,FALSE,大槇優斗,右,渡辺健太郎,右,ストレート,,2,3,ファール,FALSE,,,,,0,0,,
2025/4/13,3,裏,2,1,0,FALSE,FALSE,FALSE,大槇優斗,右,渡辺健太郎,右,ストレート,,5,1,空振,FALSE,,,,,0,0,,
2025/4/13,3,裏,2,2,0,FALSE,FALSE,FALSE,大槇優斗,右,渡辺健太郎,右,ストレート,,12,1,ボール,FALSE,,,,,0,0,,
2025/4/13,3,裏,3,2,0,FALSE,FALSE,FALSE,大槇優斗,右,渡辺健太郎,右,ストレート,,2,1,インプレー,FALSE,,凡打,フライ,中,1,0,,Q4
2025/4/13,3,裏,0,0,1,FALSE,FALSE,FALSE,大槇優斗,右,山本優人,右,スライダー,,0,0,ボール,FALSE,,,,,0,0,,
2025/4/13,3,裏,1,0,1,FALSE,FALSE,FALSE,大槇優斗,右,山本優人,右,ストレート,,8,1,見送,FALSE,,,,,0,0,,
2025/4/13,3,裏,1,1,1,FALSE,FALSE,FALSE,大槇優斗,右,山本優人,右,ストレート,,9,1,見送,FALSE,,,,,0,0,,
2025/4/13,3,裏,1,2,1,FALSE,FALSE,FALSE,大槇優斗,右,山本優人,右,スライダー,,13,1,空振,FALSE,空三振,,,,1,0,,
2025/4/13,3,裏,0,0,2,FALSE,FALSE,FALSE,大槇優斗,右,竹田龍汰,右,スライダー,,14,1,ボール,FALSE,,,,,0,0,,
2025/4/13,3,裏,1,0,2,FALSE,FALSE,FALSE,大槇優斗,右,竹田龍汰,右,ストレート,,12,1,空振,FALSE,,,,,0,0,,
2025/4/13,3,裏,1,2,2,FALSE,FALSE,FALSE,大槇優斗,右,竹田龍汰,右,ストレート,,14,1,ボール,FALSE,,,,,0,0,,
2025/4/13,3,裏,2,2,2,FALSE,FALSE,FALSE,大槇優斗,右,竹田龍汰,右,スライダー,,14,1,空振,FALSE,空三振,,,,1,0,,
2025/4/13,4,表,0,0,0,FALSE,FALSE,FALSE,濵名壱晴,右,眞木佳唯斗,右,ストレート,,9,1,見送,FALSE,,,,,0,0,,
2025/4/13,4,表,0,1,0,FALSE,FALSE,FALSE,濵名壱晴,右,眞木佳唯斗,右,ストレート,,3,1,インプレー,FALSE,,凡打,ライナー,二,1,0,,P3
