Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
2025/4/19,1,表,0,0,0,FALSE,FALSE,FALSE,水谷光希,右,加藤遥人,右,ストレート,,4,1,見送,FALSE,,,,,0,0,,
2025/4/19,1,表,0,1,0,FALSE,FALSE,FALSE,水谷光希,右,加藤遥人,右,ストレート,,13,1,ボール,FALSE,,,,,0,0,,
2025/4/19,1,裏,1,1,0,FALSE,FALSE,FALSE,的場洸稀,右,今岡歩夢,左,ストレート,,11,1,ボール,FALSE,,,,,0,0,,
2025/4/19,1,裏,2,1,0,FALSE,FALSE,FALSE,的場洸稀,右,今岡歩夢,左,ストレート,,13,2,ボール,FALSE,,,,,0,0,,
2025/4/19,1,裏,3,1,0,FALSE,FALSE,FALSE,的場洸稀,右,今岡歩夢,左,ストレート,,13,0,ボール,FALSE,四球,,,,0,0,,
2025/4/19,1,裏,0,0,0,TRUE,FALSE,FALSE,的場洸稀,右,三上武流,右,ストレート,,9,1,空振,FALSE,,,,,0,0,,
2025/4/19,1,裏,0,1,0,TRUE,FALSE,FALSE,的場洸稀,右,三上武流,右,ストレート,,3,1,ファール,FALSE,,,,,0,0,,
2025/4/19,1,裏,0,2,0,TRUE,FALSE,FALSE,的場洸稀,右,三上武流,右,シンカー,,13,1,空振,FALSE,空三振,,,,1,0,,
2025/4/19,1,裏,0,0,1,TRUE,FALSE,FALSE,的場洸稀,右,新田恭也,左,スライダー,,13,0,ボール,FALSE,,,,,0,0,,
2025/4/19,1,裏,1,0,1,TRUE,FALSE,FALSE,的場洸稀,右,新田恭也,左,,,0,3,牽制,FALSE,,,,,1,0,,
2025/4/19,1,裏,1,0,2,FALSE,FALSE,FALSE,的場洸稀,右,新田恭也,左,スライダー,,7,1,見送,FALSE,,,,,0,0,,
2025/4/19,1,裏,1,1,2,FALSE,FALSE,FALSE,的場洸稀,右,新田恭也,左,ストレート,,1,2,インプレー,FALSE,,凡打,ゴロ,遊,1,0,,K3
2025/4/19,2,表,0,0,0,FALSE,FALSE,FALSE,水谷光希,右,櫻井伯斗,右,スライダー,,6,1,見送,FALSE,,,,,0,0,,
2025/4/19,2,表,0,1,0,FALSE,FALSE,FALSE,水谷光希,右,加藤遥人,右,ストレート,,9,1,見送,FALSE,,,,,0,0,,
2025/4/19,2,表,0,2,0,FALSE,FALSE,FALSE,水谷光希,右,加藤遥人,右,ストレート,,12,1,ボール,FALSE,,,,,0,0,,
2025/4/19,2,表,1,2,0,FALSE,FALSE,FALSE,水谷光希,右,櫻井伯斗,右,ストレート,,2,3,ファール,FALSE,,,,,0,0,,
2025/4/19,2,表,1,2,0,FALSE,FALSE,FALSE,水谷光希,右,櫻井伯斗,右,カット,,3,1,インプレー,FALSE,,単打,ライナー,中,0,0,,P5
2025/4/19,2,表,0,0,0,TRUE,FALSE,FALSE,水谷光希,右,植松健太,左,スライダー,,0,0,ボール,FALSE,,,,,0,0,,
2025/4/19,2,表,1,0,0,TRUE,FALSE,FALSE,水谷光希,右,植松健太,左,ストレート,,3,0,インプレー,FALSE,,犠打,ゴロ,投,1,0,,
2025/4/19,2,表,0,0,1,FALSE,TRUE,FALSE,水谷光希,右,中村康太,右,スライダー,,14,1,ボール,FALSE,,,,,0,0,,
2025/4/19,2,表,1,0,1,FALSE,TRUE,FALSE,水谷光希,右,中村康太,右,チェンジ,,4,1,インプレー,FALSE,,凡打,ゴロ,三,1,0,,D2
2025/4/19,2,表,0,0,2,FALSE,TRUE,FALSE,水谷光希,右,西尾優翔,左,ストレート,,4,3,空振,FALSE,,,,,0,0,,
2025/4/19,2,表,0,1,2,FALSE,TRUE,FALSE,水谷光希,右,西尾優翔,左,カット,,8,3,空振,FALSE,,,,,0,0,,
2025/4/19,2,表,0,2,2,FALSE,TRUE,FALSE,水谷光希,右,西尾優翔,左,スライダー,,14,3,ボール,FALSE,,,,,0,0,,
2025/4/19,2,表,1,2,2,FALSE,TRUE,FALSE,水谷光希,右,西尾優翔,左,チェンジ,,14,3,死球,FALSE,,,,,0,0,,
2025/4/19,2,表,0,0,2,TRUE,TRUE,FALSE,水谷光希,右,小又菜生,左,スライダー,,7,3,見送,FALSE,,,,,0,0,,
2025/4/19,2,表,0,1,2,TRUE,TRUE,FALSE,水谷光希,右,小又菜生,左,チェンジ,,13,3,空振,FALSE,,,,,0,0,,
2025/4/19,2,表,0,2,2,TRUE,TRUE,FALSE,水谷光希,右,小又菜生,左,スライダー,,14,3,空振,FALSE,空三振,,,,1,0,,
2025/4/19,2,裏,0,0,0,FALSE,FALSE,FALSE,的場洸稀,右,南　早羽己,左,カーブ,,4,3,ファール,FALSE,,,,,0,0,,
2025/4/19,2,裏,0,1,0,FALSE,FALSE,FALSE,的場洸稀,右,南　早羽己,左,チェンジ,,13,1,ボール,FALSE,,,,,0,0,,
2025/4/19,2,裏,1,1,0,FALSE,FALSE,FALSE,的場洸稀,右,南　早羽己,左,ストレート,,1,1,ファール,FALSE,,,,,0,0,,
2025/4/19,2,裏,1,2,0,FALSE,FALSE,FALSE,的場洸稀,右,南　早羽己,左,チェンジ,,13,3,ファール,FALSE,,,,,0,0,,
2025/4/19,2,裏,1,2,0,FALSE,FALSE,FALSE,的場洸稀,右,南　早羽己,左,スライダー,,13,3,ボール,FALSE,,,,,0,0,,
