Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
2025/4/19,1,表,0,0,0,FALSE,FALSE,FALSE,濵名壱晴,右,渡部千博,左,ストレート,,11,1,ボール,FALSE,,,,,0,0,,
2025/4/19,1,表,1,0,0,FALSE,FALSE,FALSE,濵名壱晴,右,渡部千博,左,ストレート,,1,1,ファール,FALSE,,,,,0,0,,
2025/4/19,1,表,1,1,0,FALSE,FALSE,FALSE,濵名壱晴,右,渡部千博,左,スライダー,,1,1,見送,FALSE,,,,,0,0,,
2025/4/19,1,表,1,2,0,FALSE,FALSE,FALSE,濵名壱晴,右,渡部千博,左,ストレート,,13,3,ボール,FALSE,,,,,0,0,,
2025/4/19,1,表,2,2,0,FALSE,FALSE,FALSE,濵名壱晴,右,渡部千博,左,ストレート,,11,1,ボール,FALSE,,,,,0,0,,
2025/4/19,1,表,3,2,0,FALSE,FALSE,FALSE,濵名壱晴,右,渡部千博,左,ストレート,,2,1,ファール,FALSE,,,,,0,0,,
2025/4/19,1,表,3,2,0,FALSE,FALSE,FALSE,濵名壱晴,右,渡部千博,左,ストレート,,14,1,ボール,FALSE,四球,,,,0,0,,
2025/4/19,1,表,0,0,0,TRUE,FALSE,FALSE,濵名壱晴,右,池邉由伸,左,ストレート,,5,1,見送,FALSE,,,,,0,0,,
2025/4/19,1,表,0,1,0,TRUE,FALSE,FALSE,濵名壱晴,右,池邉由伸,左,,,0,1,牽制,FALSE,,,,,0,0,,
2025/4/19,1,表,0,1,0,TRUE,FALSE,FALSE,濵名壱晴,右,池邉由伸,左,スライダー,,6,1,見送,FALSE,,,,,0,0,,
2025/4/19,1,表,0,2,0,TRUE,FALSE,FALSE,濵名壱晴,右,池邉由伸,左,ストレート,,7,1,インプレー,FALSE,,凡打,ゴロ,二,1,0,,
2025/4/19,1,表,0,0,1,FALSE,TRUE,FALSE,濵名壱晴,右,佐藤隼太,右,スライダー,,14,1,ボール,FALSE,,,,,0,0,,
2025/4/19,1,表,1,0,1,FALSE,TRUE,FALSE,濵名壱晴,右,佐藤隼太,右,ストレート,,2,3,空振,FALSE,,,,,0,0,,
2025/4/19,1,表,1,1,1,FALSE,TRUE,FALSE,濵名壱晴,右,佐藤隼太,右,ストレート,,13,3,ボール,FALSE,,,,,0,0,,
2025/4/19,1,表,2,1,1,FALSE,TRUE,FALSE,濵名壱晴,右,佐藤隼太,右,スライダー,,1,1,見送,FALSE,,,,,0,0,,
2025/4/19,1,表,2,2,1,FALSE,TRUE,FALSE,濵名壱晴,右,佐藤隼太,右,ストレート,,14,1,ボール,FALSE,,,,,0,0,,
2025/4/19,1,表,3,2,1,FALSE,TRUE,FALSE,濵名壱晴,右,佐藤隼太,右,ストレート,,2,1,インプレー,FALSE,,凡打,フライ,三,1,0,,
2025/4/19,1,表,0,0,2,FALSE,TRUE,FALSE,濵名壱晴,右,小谷真斗,左,スライダー,,13,3,ボール,FALSE,,,,,0,0,,
2025/4/19,1,表,1,0,2,FALSE,TRUE,FALSE,濵名壱晴,右,小谷真斗,左,スライダー,,14,1,ボール,FALSE,,,,,0,0,,
2025/4/19,1,表,2,0,2,FALSE,TRUE,FALSE,濵名壱晴,右,小谷真斗,左,ストレート,,12,1,ボール,FALSE,,,,,0,0,,
2025/4/19,1,表,3,0,2,FALSE,TRUE,FALSE,濵名壱晴,右,小谷真斗,左,ストレート,,4,1,見送,FALSE,,,,,0,0,,
2025/4/19,1,表,3,1,2,FALSE,TRUE,FALSE,濵名壱晴,右,小谷真斗,左,スライダー,,14,2,ボール,FALSE,四球,,,,0,0,,
2025/4/19,1,表,0,0,2,TRUE,TRUE,FALSE,濵名壱晴,右,野口恭平,左,ストレート,,11,1,ボール,FALSE,,,,,0,0,,
2025/4/19,1,表,1,0,2,TRUE,TRUE,FALSE,濵名壱晴,右,野口恭平,左,フォーク,,7,1,見送,FALSE,,,,,0,0,,
2025/4/19,1,表,1,1,2,TRUE,TRUE,FALSE,濵名壱晴,右,野口恭平,左,スライダー,,13,1,ボール,FALSE,,,,,0,0,,
2025/4/19,1,表,2,1,2,TRUE,TRUE,FALSE,濵名壱晴,右,野口恭平,左,ストレート,,11,1,ボール,FALSE,,,,,0,0,,
2025/4/19,1,表,3,1,2,TRUE,TRUE,FALSE,濵名壱晴,右,野口恭平,左,ストレート,,4,1,見送,FALSE,,,,,0,0,,
2025/4/19,1,表,3,2,2,TRUE,TRUE,FALSE,濵名壱晴,右,野口恭平,左,ストレート,,13,1,ボール,FALSE,四球,,,,0,0,,
2025/4/19,1,表,0,0,2,TRUE,TRUE,TRUE,濵名壱晴,右,大江陸斗,右,ストレート,,12,1,ボール,FALSE,,,,,0,0,,
2025/4/19,1,表,1,0,2,TRUE,TRUE,TRUE,濵名壱晴,右,大江陸斗,右,ストレート,,9,1,ファール,FALSE,,,,,0,0,,
2025/4/19,1,表,1,1,2,TRUE,TRUE,TRUE,濵名壱晴,右,大江陸斗,右,ストレート,,4,3,インプレー,FALSE,,凡打,ゴロ,遊,1,0,,I3
2025/4/19,1,裏,0,0,0,FALSE,FALSE,FALSE,向嶋大輔,右,山本優人,右,ストレート,,14,1,ボール,FALSE,,,,,0,0,,
2025/4/19,1,裏,1,0,0,FALSE,FALSE,FALSE,向嶋大輔,右,山本優人,右,ストレート,,13,1,ボール,FALSE,,,,,0,0,,
2025/4/19,1,裏,2,0,0,FALSE,FALSE,FALSE,向嶋大輔,右,山本優人,右,ストレート,,11,1,インプレー,FALSE,,凡打,ゴロ,遊,1,0,,G3
2025/4/19,1,裏,0,0,1,FALSE,FALSE,FALSE,向嶋大輔,右,竹田龍汰,右,ストレート,,12,1,ボール,FALSE,,,,,0,0,,
2025/4/19,1,裏,1,0,1,FALSE,FALSE,FALSE,向嶋大輔,右,竹田龍汰,右,ストレート,,14,1,ボール,FALSE,,,,,0,0,,
2025/4/19,1,裏,2,0,1,FALSE,FALSE,FALSE,向嶋大輔,右,竹田龍汰,右,ストレート,,13,1,ボール,FALSE,,,,,0,0,,
2025/4/19,1,裏,3,0,1,FALSE,FALSE,FALSE,向嶋大輔,右,竹田龍汰,右,ストレート,,14,1,ボール,FALSE,四球,,,,0,0,,
2025/4/19,1,裏,0,0,1,TRUE,FALSE,FALSE,向嶋大輔,右,道下柚希,左,ストレート,,8,3,空振,FALSE,,,,,0,0,,
2025/4/19,1,裏,0,1,1,TRUE,FALSE,FALSE,向嶋大輔,右,道下柚希,左,ストレート,,7,3,見送,FALSE,,,,,0,0,,
2025/4/19,1,裏,0,2,1,TRUE,FALSE,FALSE,向嶋大輔,右,道下柚希,左,ストレート,,7,3,ファール,FALSE,,,,,0,0,,
2025/4/19,1,裏,0,2,1,TRUE,FALSE,FALSE,向嶋大輔,右,道下柚希,左,,,0,2,牽制,FALSE,,,,,0,0,,
2025/4/19,1,裏,0,2,1,TRUE,FALSE,FALSE,向嶋大輔,右,道下柚希,左,ストレート,,11,3,ボール,FALSE,,,,,0,0,,
2025/4/19,1,裏,1,2,1,TRUE,FALSE,FALSE,向嶋大輔,右,道下柚希,左,ストレート,,12,1,ボール,FALSE,,,,,0,0,,
2025/4/19,1,裏,2,2,1,TRUE,FALSE,FALSE,向嶋大輔,右,道下柚希,左,ストレート,,7,3,ファール,FALSE,,,,,0,0,,
2025/4/19,1,裏,2,2,1,TRUE,FALSE,FALSE,向嶋大輔,右,道下柚希,左,カット,,1,3,インプレー,FALSE,,凡打,フライ,二,1,0,,
2025/4/19,1,裏,0,0,2,TRUE,FALSE,FALSE,向嶋大輔,右,加納誠琉,右,ストレート,,11,1,ボール,FALSE,,,,,0,0,,
2025/4/19,1,裏,1,0,2,TRUE,FALSE,FALSE,向嶋大輔,右,加納誠琉,右,ストレート,,8,1,見送,FALSE,,,,,0,0,,
2025/4/19,1,裏,1,1,2,TRUE,FALSE,FALSE,向嶋大輔,右,加納誠琉,右,ストレート,,12,1,ボール,FALSE,,,,,0,0,,
2025/4/19,1,裏,2,1,2,TRUE,FALSE,FALSE,向嶋大輔,右,加納誠琉,右,ストレート,,11,1,ボール,FALSE,,,,,0,0,,
2025/4/19,1,裏,3,1,2,TRUE,FALSE,FALSE,向嶋大輔,右,加納誠琉,右,ストレート,,11,1,ボール,FALSE,四球,,,,0,0,,
2025/4/19,1,裏,0,0,2,TRUE,TRUE,FALSE,向嶋大輔,右,相上征士郎,右,ストレート,,9,1,ファール,FALSE,,,,,0,0,,
2025/4/19,1,裏,0,1,2,TRUE,TRUE,FALSE,向嶋大輔,右,相上征士郎,右,,,0,2,牽制,FALSE,,,,,1,0,,
2025/4/19,2,表,0,1,0,FALSE,FALSE,FALSE,濵名壱晴,右,寶田一慧,左,ストレート,,13,3,ボール,FALSE,,,,,0,0,,
2025/4/19,2,表,1,0,0,FALSE,FALSE,FALSE,濵名壱晴,右,寶田一慧,左,スライダー,,14,1,空振,FALSE,,,,,0,0,,
2025/4/19,2,表,1,1,0,FALSE,FALSE,FALSE,濵名壱晴,右,寶田一慧,左,ストレート,,11,1,ボール,FALSE,,,,,0,0,,
2025/4/19,2,表,2,1,0,FALSE,FALSE,FALSE,濵名壱晴,右,寶田一慧,左,ストレート,,4,1,インプレー,FALSE,,凡打,ゴロ,二,1,0,,
2025/4/19,2,表,0,0,1,FALSE,FALSE,FALSE,濵名壱晴,右,山田久敬,左,スライダー,,12,1,ボール,FALSE,,,,,0,0,,
2025/4/19,2,表,1,0,1,FALSE,FALSE,FALSE,濵名壱晴,右,山田久敬,左,ストレート,,13,3,ボール,FALSE,,,,,0,0,,
2025/4/19,2,表,2,0,1,FALSE,FALSE,FALSE,濵名壱晴,右,山田久敬,左,ストレート,,5,1,見送,FALSE,,,,,0,0,,
2025/4/19,2,表,2,1,1,FALSE,FALSE,FALSE,濵名壱晴,右,山田久敬,左,ストレート,,1,1,見送,FALSE,,,,,0,0,,
2025/4/19,2,表,2,2,1,FALSE,FALSE,FALSE,濵名壱晴,右,山田久敬,左,フォーク,,13,3,ボール,FALSE,,,,,0,0,,
2025/4/19,2,表,3,2,1,FALSE,FALSE,FALSE,濵名壱晴,右,山田久敬,左,フォーク,,13,1,インプレー,FALSE,,凡打,ゴロ,遊,0,0,,J3
2025/4/19,2,表,0,0,1,TRUE,FALSE,FALSE,濵名壱晴,右,山川宗慶,右,スライダー,,0,0,ボール,FALSE,,,,,0,0,,
2025/4/19,2,表,1,0,1,TRUE,FALSE,FALSE,濵名壱晴,右,山川宗慶,右,ストレート,,11,1,ファール,FALSE,,,,,0,0,,
2025/4/19,2,表,1,1,1,TRUE,FALSE,FALSE,濵名壱晴,右,山川宗慶,右,ストレート,,2,1,インプレー,FALSE,,単打,ゴロ,左,0,0,,G3
2025/4/19,2,表,0,0,1,TRUE,TRUE,FALSE,濵名壱晴,右,渡部千博,左,スライダー,,14,1,ボール,FALSE,,,,,0,0,,
2025/4/19,2,表,1,0,1,TRUE,TRUE,FALSE,濵名壱晴,右,渡部千博,左,ストレート,,13,1,ボール,FALSE,,,,,0,0,,
2025/4/19,2,表,2,0,1,TRUE,TRUE,FALSE,濵名壱晴,右,渡部千博,左,ストレート,,13,1,ボール,FALSE,,,,,0,0,,
2025/4/19,2,表,3,0,1,TRUE,TRUE,FALSE,濵名壱晴,右,渡部千博,左,フォーク,,7,1,見送,FALSE,,,,,0,0,,
2025/4/19,2,表,3,1,1,TRUE,TRUE,FALSE,濵名壱晴,右,渡部千博,左,ストレート,,13,1,ボール,FALSE,四球,,,,0,0,,
2025/4/19,2,表,0,0,2,TRUE,TRUE,FALSE,濵名壱晴,右,池邉由伸,左,スライダー,,5,3,見送,FALSE,,,,,0,0,,
2025/4/19,2,表,0,1,2,TRUE,TRUE,FALSE,濵名壱晴,右,池邉由伸,左,ストレート,,1,3,インプレー,FALSE,,凡打,フライ,中,1,0,,K5
