Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
2025/4/20,1,表,0,0,0,FALSE,FALSE,FALSE,西川大智,左,清水快真,左,ストレート,,5,3,インプレー,FALSE,,凡打,フライ,右,1,0,,R4
2025/4/20,1,表,3,1,1,FALSE,FALSE,FALSE,西川大智,左,細川太志,左,ストレート,,5,3,見送,FALSE,,,,,0,0,,
2025/4/20,1,表,3,2,1,FALSE,FALSE,FALSE,西川大智,左,細川太志,左,ストレート,,7,3,空振,FALSE,空三振,,,,1,0,,
2025/4/20,1,表,0,0,2,FALSE,FALSE,FALSE,西川大智,左,中野心惇,右,チェンジ,,14,1,空振,FALSE,,,,,0,0,,
2025/4/20,1,表,0,1,2,FALSE,FALSE,FALSE,西川大智,左,中野心惇,右,ストレート,,9,1,見送,FALSE,,,,,0,0,,
2025/4/20,1,表,0,2,2,FALSE,FALSE,FALSE,西川大智,左,中野心惇,右,ストレート,,3,1,ファール,FALSE,,,,,0,0,,
2025/4/20,1,表,0,2,2,FALSE,FALSE,FALSE,西川大智,左,中野心惇,右,カーブ,,2,0,見送,FALSE,見三振,,,,1,0,,
2025/4/20,1,裏,0,0,0,FALSE,FALSE,FALSE,野﨑勇一郎,右,多賀健渡,右,ストレート,,4,1,ファール,FALSE,,,,,0,0,,
2025/4/20,1,裏,0,0,0,FALSE,FALSE,FALSE,野﨑勇一郎,右,多賀健渡,右,ストレート,,4,1,ファール,FALSE,,,,,0,0,,
2025/4/20,1,裏,0,1,0,FALSE,FALSE,FALSE,野﨑勇一郎,右,多賀健渡,右,スライダー,,0,0,ファール,FALSE,,,,,0,0,,
2025/4/20,1,裏,0,2,0,FALSE,FALSE,FALSE,野﨑勇一郎,右,多賀健渡,右,ストレート,,3,1,ファール,FALSE,,,,,0,0,,
2025/4/20,1,裏,0,2,0,FALSE,FALSE,FALSE,野﨑勇一郎,右,多賀健渡,右,スライダー,,14,0,ボール,FALSE,,,,,0,0,,
2025/4/20,1,裏,1,2,0,FALSE,FALSE,FALSE,野﨑勇一郎,右,多賀健渡,右,スライダー,,14,1,ボール,FALSE,,,,,0,0,,
2025/4/20,1,裏,2,2,0,FALSE,FALSE,FALSE,野﨑勇一郎,右,多賀健渡,右,ストレート,,12,1,ボール,FALSE,,,,,0,0,,
2025/4/20,1,裏,3,2,0,FALSE,FALSE,FALSE,野﨑勇一郎,右,多賀健渡,右,ストレート,,13,2,ボール,FALSE,四球,,,,0,0,,
2025/4/20,1,裏,0,0,0,TRUE,FALSE,FALSE,野﨑勇一郎,右,吉田悠河,左,スライダー,,13,3,ボール,FALSE,,,,,0,0,,
2025/4/20,1,裏,1,0,0,TRUE,FALSE,FALSE,野﨑勇一郎,右,吉田悠河,左,チェンジ,,14,3,ボール,FALSE,,,,,0,0,,
2025/4/20,1,裏,2,0,0,FALSE,FALSE,TRUE,野﨑勇一郎,右,吉田悠河,左,ストレート,,12,1,ボール,FALSE,,,,,0,0,,
2025/4/20,1,裏,3,0,0,FALSE,FALSE,TRUE,野﨑勇一郎,右,吉田悠河,左,チェンジ,,13,3,ボール,FALSE,四球,,,,0,0,,
2025/4/20,1,裏,0,0,0,TRUE,FALSE,TRUE,野﨑勇一郎,右,藤井　陸,右,ストレート,,9,1,見送,FALSE,,,,,0,0,,
2025/4/20,1,裏,0,1,0,TRUE,FALSE,TRUE,野﨑勇一郎,右,藤井　陸,右,スライダー,,14,1,空振,FALSE,,,,,0,0,,
2025/4/20,1,裏,0,2,0,TRUE,FALSE,TRUE,野﨑勇一郎,右,藤井　陸,右,ストレート,,14,1,ボール,FALSE,,,,,0,0,,
2025/4/20,1,裏,1,2,0,TRUE,FALSE,TRUE,野﨑勇一郎,右,藤井　陸,右,スライダー,,13,1,空振,FALSE,空三振,,,,1,0,,
2025/4/20,1,裏,0,0,1,TRUE,FALSE,TRUE,野﨑勇一郎,右,大宗拓夢,右,スライダー,,14,1,空振,FALSE,,,,,0,0,,
2025/4/20,1,裏,0,1,1,TRUE,FALSE,TRUE,野﨑勇一郎,右,大宗拓夢,右,ストレート,,14,1,ボール,FALSE,,,,,0,1,,
2025/4/20,1,裏,1,1,1,FALSE,FALSE,TRUE,野﨑勇一郎,右,大宗拓夢,右,チェンジ,,13,1,ボール,FALSE,,,,,0,0,,
2025/4/20,1,裏,2,1,1,FALSE,FALSE,TRUE,野﨑勇一郎,右,大宗拓夢,右,ストレート,,11,3,インプレー,FALSE,,凡打,フライ,捕,1,0,,
2025/4/20,1,裏,0,0,2,FALSE,FALSE,TRUE,野﨑勇一郎,右,悟道大和,右,ストレート,,3,3,インプレー,FALSE,,凡打,フライ,一,1,0,,
2025/4/20,2,表,0,0,0,FALSE,FALSE,FALSE,西川大智,左,山本翔士,左,カーブ,,13,3,ボール,FALSE,,,,,0,0,,
2025/4/20,2,表,1,0,0,FALSE,FALSE,FALSE,西川大智,左,山本翔士,左,カーブ,,13,3,ボール,FALSE,,,,,0,0,,
2025/4/20,2,表,2,0,0,FALSE,FALSE,FALSE,西川大智,左,山本翔士,左,ストレート,,5,3,ファール,FALSE,,,,,0,0,,
2025/4/20,2,表,2,1,0,FALSE,FALSE,FALSE,西川大智,左,山本翔士,左,ストレート,,3,1,空振,FALSE,,,,,0,0,,
2025/4/20,2,表,2,2,0,FALSE,FALSE,FALSE,西川大智,左,山本翔士,左,カーブ,,4,3,空振,FALSE,空三振,,,,1,0,,
2025/4/20,2,表,0,0,1,FALSE,FALSE,FALSE,西川大智,左,東元龍成,右,カーブ,,12,1,ボール,FALSE,,,,,0,0,,
2025/4/20,2,表,1,0,1,FALSE,FALSE,FALSE,西川大智,左,東元龍成,右,ストレート,,3,1,見送,FALSE,,,,,0,0,,
2025/4/20,2,表,1,1,1,FALSE,FALSE,FALSE,西川大智,左,東元龍成,右,チェンジ,,1,1,ファール,FALSE,,,,,0,0,,
2025/4/20,2,表,1,2,1,FALSE,FALSE,FALSE,西川大智,左,東元龍成,右,ストレート,,12,1,ボール,FALSE,,,,,0,0,,
