Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
2025/5/2,1,表,0,0,0,FALSE,FALSE,FALSE,的場洸稀,右,山本優人,右,ストレート,,8,0,見送,FALSE,,,,,0,0,,
2025/5/2,1,表,0,1,0,FALSE,FALSE,FALSE,的場洸稀,右,山本優人,右,ストレート,,2,0,ファール,FALSE,,,,,0,0,,
2025/5/2,1,表,0,2,0,FALSE,FALSE,FALSE,的場洸稀,右,山本優人,右,ストレート,,4,0,ファール,FALSE,,,,,0,0,,
2025/5/2,1,表,0,2,0,FALSE,FALSE,FALSE,的場洸稀,右,山本優人,右,ストレート,,12,0,ボール,FALSE,,,,,0,0,,
2025/5/2,1,表,1,2,0,FALSE,FALSE,FALSE,的場洸稀,右,山本優人,右,スライダー,,14,0,ボール,FALSE,,,,,0,0,,
2025/5/2,1,表,2,2,0,FALSE,FALSE,FALSE,的場洸稀,右,山本優人,右,ストレート,,13,0,ボール,FALSE,,,,,0,0,,
2025/5/2,1,表,3,2,0,FALSE,FALSE,FALSE,的場洸稀,右,山本優人,右,ストレート,,8,0,ファール,FALSE,,,,,0,0,,
2025/5/2,1,表,3,2,0,FALSE,FALSE,FALSE,的場洸稀,右,山本優人,右,ストレート,,6,0,ファール,FALSE,,,,,0,0,,
2025/5/2,1,表,3,2,0,FALSE,FALSE,FALSE,的場洸稀,右,山本優人,右,ストレート,,9,0,見送,FALSE,見三振,,,,1,0,,
2025/5/2,1,表,0,0,1,FALSE,FALSE,FALSE,的場洸稀,右,竹田龍汰,右,カーブ,,13,0,見送,FALSE,,,,,0,0,,
2025/5/2,1,表,0,1,1,FALSE,FALSE,FALSE,的場洸稀,右,山本優人,右,ストレート,,11,0,見送,FALSE,,,,,0,0,,
2025/5/2,1,表,2,0,1,FALSE,FALSE,FALSE,的場洸稀,右,山本優人,右,ストレート,,8,0,見送,FALSE,,,,,0,0,,
2025/5/2,1,表,2,1,1,FALSE,FALSE,FALSE,的場洸稀,右,山本優人,右,カット,,9,0,空振,FALSE,,,,,0,0,,
2025/5/2,1,表,2,2,1,FALSE,FALSE,FALSE,的場洸稀,右,山本優人,右,ストレート,,9,0,ファール,FALSE,,,,,0,0,,
2025/5/2,1,表,2,2,1,FALSE,FALSE,FALSE,的場洸稀,右,山本優人,右,ストレート,,13,0,ボール,FALSE,,,,,0,0,,
2025/5/2,1,表,3,2,1,FALSE,FALSE,FALSE,的場洸稀,右,山本優人,右,スライダー,,6,0,空振,FALSE,空三振,,,,1,0,,
2025/5/2,1,表,0,0,2,FALSE,FALSE,FALSE,的場洸稀,右,道下柚希,左,ストレート,,5,0,インプレー,FALSE,,単打,ゴロ,中,0,0,,
2025/5/2,1,表,0,0,2,FALSE,FALSE,FALSE,的場洸稀,右,加納誠琉,右,スライダー,,8,0,ボール,FALSE,,,,,0,0,,
2025/5/2,1,表,1,0,2,FALSE,FALSE,FALSE,的場洸稀,右,山本優人,右,ストレート,,14,0,ボール,FALSE,,,,,0,0,,
2025/5/2,1,表,1,1,2,TRUE,FALSE,FALSE,的場洸稀,右,山本優人,右,カーブ,,14,0,ボール,FALSE,,,,,0,0,,
2025/5/2,1,表,2,1,2,FALSE,FALSE,TRUE,的場洸稀,右,加納誠琉,右,ストレート,,6,0,インプレー,FALSE,,単打,ライナー,中,0,1,,
2025/5/2,1,裏,0,0,0,FALSE,FALSE,FALSE,濵名壱晴,右,植松健太,左,ストレート,,7,0,見送,FALSE,,,,,0,0,,
2025/5/2,1,裏,0,1,0,FALSE,FALSE,FALSE,濵名壱晴,右,植松健太,左,スライダー,,2,0,インプレー,FALSE,,凡打,ゴロ,投,1,0,,M2
2025/5/2,1,裏,0,0,1,FALSE,FALSE,FALSE,濵名壱晴,右,唐澤　旬,左,スライダー,,13,0,ボール,FALSE,,,,,0,0,,
2025/5/2,1,裏,1,0,1,FALSE,FALSE,FALSE,濵名壱晴,右,唐澤　旬,左,ストレート,,13,0,ボール,FALSE,,,,,0,0,,
2025/5/2,1,裏,2,0,1,FALSE,FALSE,FALSE,濵名壱晴,右,唐澤　旬,左,ストレート,,13,0,ボール,FALSE,,,,,0,0,,
2025/5/2,1,裏,3,0,1,FALSE,FALSE,FALSE,濵名壱晴,右,唐澤　旬,左,ストレート,,4,0,見送,FALSE,,,,,0,0,,
2025/5/2,1,裏,3,1,1,FALSE,FALSE,FALSE,濵名壱晴,右,唐澤　旬,左,ストレート,,4,0,インプレー,FALSE,,単打,フライ,左,0,0,,
2025/5/2,1,裏,0,0,1,TRUE,FALSE,FALSE,濵名壱晴,右,櫻井伯斗,右,カーブ,,11,0,ボール,FALSE,,,,,0,0,,
2025/5/2,1,裏,1,0,1,TRUE,FALSE,FALSE,濵名壱晴,右,櫻井伯斗,右,ストレート,,6,0,見送,FALSE,,,,,1,0,,
2025/5/2,1,裏,1,1,2,TRUE,FALSE,FALSE,濵名壱晴,右,櫻井伯斗,右,ストレート,,6,0,ファール,FALSE,,,,,0,0,,
2025/5/2,1,裏,3,2,2,TRUE,FALSE,FALSE,濵名壱晴,右,櫻井伯斗,右,ストレート,,11,0,死球,FALSE,,,,,0,0,,
2025/5/2,1,裏,0,0,2,TRUE,FALSE,FALSE,濵名壱晴,右,亀澤祐貴,右,カーブ,,14,0,ボール,FALSE,,,,,0,0,,
2025/5/2,1,裏,1,0,2,TRUE,FALSE,FALSE,濵名壱晴,右,亀澤祐貴,右,ストレート,,14,0,ボール,FALSE,,,,,0,0,,
2025/5/2,1,裏,2,0,2,FALSE,TRUE,FALSE,濵名壱晴,右,亀澤祐貴,右,ストレート,,2,0,ファール,FALSE,,,,,0,0,,
