Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
2025/5/3,1,表,0,0,0,FALSE,FALSE,FALSE,小野颯太,右,黒田佑月,左,ストレート,,13,3,ボール,FALSE,,,,,0,0,,
2025/5/3,1,表,1,0,0,FALSE,FALSE,FALSE,小野颯太,右,黒田佑月,左,ストレート,,4,1,ファール,FALSE,,,,,0,0,,
2025/5/3,1,表,1,1,0,FALSE,FALSE,FALSE,小野颯太,右,黒田佑月,左,スライダー,,13,1,ボール,FALSE,,,,,0,0,,
2025/5/3,1,表,2,1,0,FALSE,FALSE,FALSE,小野颯太,右,黒田佑月,左,ストレート,,3,1,インプレー,FALSE,,凡打,ゴロ,二,1,0,,U3
2025/5/3,1,表,0,0,1,FALSE,FALSE,FALSE,小野颯太,右,唐澤　旬,左,スライダー,,5,1,見送,FALSE,,,,,0,0,,
2025/5/3,1,表,0,1,1,FALSE,FALSE,FALSE,小野颯太,右,唐澤　旬,左,スライダー,,13,1,ボール,FALSE,,,,,0,0,,
2025/5/3,1,表,1,1,1,FALSE,FALSE,FALSE,小野颯太,右,唐澤　旬,左,スライダー,,11,1,ボール,FALSE,,,,,0,0,,
2025/5/3,1,表,2,1,1,FALSE,FALSE,FALSE,小野颯太,右,唐澤　旬,左,スライダー,,1,1,見送,FALSE,,,,,0,0,,
2025/5/3,1,表,2,2,1,FALSE,FALSE,FALSE,小野颯太,右,唐澤　旬,左,ストレート,,11,1,ボール,FALSE,,,,,0,0,,
2025/5/3,1,表,3,2,1,FALSE,FALSE,FALSE,小野颯太,右,唐澤　旬,左,スライダー,,8,1,インプレー,FALSE,,凡打,ゴロ,遊,1,0,,K3
2025/5/3,1,表,0,0,2,FALSE,FALSE,FALSE,小野颯太,右,久保田大成,右,スライダー,,13,1,ボール,FALSE,,,,,0,0,,
2025/5/3,1,表,1,0,2,FALSE,FALSE,FALSE,小野颯太,右,久保田大成,右,ストレート,,2,1,ファール,FALSE,,,,,0,0,,
2025/5/3,1,表,1,1,2,FALSE,FALSE,FALSE,小野颯太,右,久保田大成,右,ストレート,,6,3,インプレー,FALSE,,凡打,ゴロ,一,1,0,,X3
2025/5/3,1,裏,0,0,0,FALSE,FALSE,FALSE,吉野京士郎,右,山本優人,右,スライダー,,4,1,見送,FALSE,,,,,0,0,,
2025/5/3,1,裏,0,1,0,FALSE,FALSE,FALSE,吉野京士郎,右,山本優人,右,スライダー,,6,1,インプレー,FALSE,,凡打,ゴロ,遊,1,0,,G3
2025/5/3,1,裏,0,0,1,FALSE,FALSE,FALSE,吉野京士郎,右,竹田龍汰,右,ストレート,,3,1,見送,FALSE,,,,,0,0,,
2025/5/3,1,裏,0,1,1,FALSE,FALSE,FALSE,吉野京士郎,右,竹田龍汰,右,ストレート,,14,0,ボール,FALSE,,,,,0,0,,
2025/5/3,1,裏,1,1,1,FALSE,FALSE,FALSE,吉野京士郎,右,竹田龍汰,右,ストレート,,14,1,ボール,FALSE,,,,,0,0,,
2025/5/3,1,裏,2,1,1,FALSE,FALSE,FALSE,吉野京士郎,右,竹田龍汰,右,スライダー,,14,1,ボール,FALSE,,,,,0,0,,
2025/5/3,1,裏,3,1,1,FALSE,FALSE,FALSE,吉野京士郎,右,竹田龍汰,右,ストレート,,6,1,見送,FALSE,,,,,0,0,,
2025/5/3,1,裏,3,2,1,FALSE,FALSE,FALSE,吉野京士郎,右,竹田龍汰,右,スライダー,,12,1,インプレー,FALSE,,凡打,フライ,右,1,0,,T6
2025/5/3,1,裏,0,0,2,FALSE,FALSE,FALSE,吉野京士郎,右,道下柚希,左,ストレート,,5,3,ファール,FALSE,,,,,0,0,,
2025/5/3,1,裏,0,1,2,FALSE,FALSE,FALSE,吉野京士郎,右,道下柚希,左,ストレート,,1,3,インプレー,FALSE,,単打,ライナー,右,0,0,,
2025/5/3,1,裏,0,0,2,TRUE,FALSE,FALSE,吉野京士郎,右,加納誠琉,右,スライダー,,6,1,見送,FALSE,,,,,0,0,,
