Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
2025/5/3,1,表,0,0,0,FALSE,FALSE,FALSE,大槇優斗,右,清水快真,左,ストレート,,7,1,インプレー,FALSE,,凡打,ゴロ,二,1,0,,V3
2025/5/3,1,表,0,0,1,FALSE,FALSE,FALSE,大槇優斗,右,細川太志,左,ストレート,,8,3,見送,FALSE,,,,,0,0,,
2025/5/3,1,表,0,1,1,FALSE,FALSE,FALSE,大槇優斗,右,細川太志,左,ストレート,,5,3,ファール,FALSE,,,,,0,0,,
2025/5/3,1,表,0,2,1,FALSE,FALSE,FALSE,大槇優斗,右,細川太志,左,スライダー,,11,3,ボール,FALSE,,,,,0,0,,
2025/5/3,1,表,1,2,1,FALSE,FALSE,FALSE,大槇優斗,右,細川太志,左,ストレート,,11,3,ボール,FALSE,,,,,0,0,,
2025/5/3,1,表,2,2,1,FALSE,FALSE,FALSE,大槇優斗,右,細川太志,左,スライダー,,2,1,ファール,FALSE,,,,,0,0,,
2025/5/3,1,表,2,2,1,FALSE,FALSE,FALSE,大槇優斗,右,細川太志,左,ストレート,,9,1,見送,FALSE,見三振,,,,1,0,,
2025/5/3,1,表,0,0,2,FALSE,FALSE,FALSE,大槇優斗,右,中野心惇,右,カーブ,,12,1,インプレー,FALSE,,単打,ゴロ,二,0,0,,U2
2025/5/3,1,表,0,0,2,TRUE,FALSE,FALSE,大槇優斗,右,山本翔士,左,カーブ,,13,3,空振,FALSE,,,,,0,0,,
2025/5/3,1,表,0,1,2,TRUE,FALSE,FALSE,大槇優斗,右,山本翔士,左,ストレート,,2,3,空振,FALSE,,,,,0,0,,
2025/5/3,1,表,0,2,2,TRUE,FALSE,FALSE,大槇優斗,右,山本翔士,左,チェンジ,,13,3,ボール,FALSE,,,,,0,0,,
2025/5/3,1,表,1,2,2,TRUE,FALSE,FALSE,大槇優斗,右,山本翔士,左,ストレート,,7,3,空振,FALSE,空三振,,,,1,0,,
2025/5/3,1,裏,0,0,0,FALSE,FALSE,FALSE,蔵口　敦,右,新田恭也,左,スライダー,,7,3,インプレー,FALSE,,単打,フライ,左,0,0,,D6
2025/5/3,1,裏,0,0,0,TRUE,FALSE,FALSE,蔵口　敦,右,三島袈夢,左,ストレート,,13,1,死球,FALSE,,,,,0,0,,
2025/5/3,1,裏,0,0,0,TRUE,TRUE,FALSE,蔵口　敦,右,久々江翔吾,右,ストレート,,9,1,見送,FALSE,,,,,0,0,,
2025/5/3,1,裏,0,1,0,TRUE,TRUE,FALSE,蔵口　敦,右,久々江翔吾,右,スライダー,,14,1,空振,FALSE,,,,,0,0,,
2025/5/3,1,裏,0,2,0,TRUE,TRUE,FALSE,蔵口　敦,右,久々江翔吾,右,ストレート,,14,1,ボール,FALSE,,,,,0,0,,
2025/5/3,1,裏,1,2,0,TRUE,TRUE,FALSE,蔵口　敦,右,久々江翔吾,右,スライダー,,14,1,インプレー,FALSE,,併殺,ゴロ,遊,2,0,,L3
2025/5/3,1,裏,0,0,2,FALSE,FALSE,TRUE,蔵口　敦,右,南　早羽己,左,ストレート,,11,1,空振,FALSE,,,,,0,0,,
2025/5/3,1,裏,0,1,2,FALSE,FALSE,TRUE,蔵口　敦,右,南　早羽己,左,ストレート,,14,1,死球,FALSE,,,,,0,0,,
2025/5/3,1,裏,0,0,2,TRUE,FALSE,TRUE,蔵口　敦,右,角尾頼尊,右,ストレート,,6,1,見送,FALSE,,,,,0,0,,
2025/5/3,1,裏,0,1,2,TRUE,FALSE,TRUE,蔵口　敦,右,角尾頼尊,右,ストレート,,12,1,ファール,FALSE,,,,,0,0,,
2025/5/3,1,裏,0,2,2,TRUE,FALSE,TRUE,蔵口　敦,右,角尾頼尊,右,ストレート,,12,1,ボール,FALSE,,,,,0,0,,
2025/5/3,1,裏,1,2,2,TRUE,FALSE,TRUE,蔵口　敦,右,角尾頼尊,右,ストレート,,14,1,インプレー,FALSE,,凡打,フライ,中,1,0,,R5
2025/5/3,2,表,0,0,0,FALSE,FALSE,FALSE,大槇優斗,右,東元龍成,右,スライダー,,4,1,見送,FALSE,,,,,0,0,,
2025/5/3,2,表,0,1,0,FALSE,FALSE,FALSE,大槇優斗,右,東元龍成,右,カーブ,,9,1,見送,FALSE,,,,,0,0,,
2025/5/3,2,表,0,2,0,FALSE,FALSE,FALSE,大槇優斗,右,東元龍成,右,スライダー,,14,1,空振,FALSE,空三振,,,,1,0,,
2025/5/3,2,表,0,0,1,FALSE,FALSE,FALSE,大槇優斗,右,津澤泰成,左,ストレート,,1,3,見送,FALSE,,,,,0,0,,
2025/5/3,2,表,0,1,1,FALSE,FALSE,FALSE,大槇優斗,右,津澤泰成,左,チェンジ,,11,3,ボール,FALSE,,,,,0,0,,
2025/5/3,2,表,1,1,1,FALSE,FALSE,FALSE,大槇優斗,右,津澤泰成,左,チェンジ,,11,3,ボール,FALSE,,,,,0,0,,
2025/5/3,2,表,2,1,1,FALSE,FALSE,FALSE,大槇優斗,右,津澤泰成,左,ストレート,,3,3,空振,FALSE,,,,,0,0,,
2025/5/3,2,表,2,2,1,FALSE,FALSE,FALSE,大槇優斗,右,津澤泰成,左,スライダー,,2,3,インプレー,FALSE,,単打,フライ,中,0,0,,K4
2025/5/3,2,表,0,0,1,TRUE,FALSE,FALSE,大槇優斗,右,架谷　岳,右,スライダー,,9,0,空振,FALSE,,,,,0,0,,
2025/5/3,2,表,0,1,1,TRUE,FALSE,FALSE,大槇優斗,右,架谷　岳,右,スライダー,,14,1,ボール,FALSE,,,,,0,0,,
2025/5/3,2,表,1,1,1,TRUE,FALSE,FALSE,大槇優斗,右,架谷　岳,右,スライダー,,5,1,見送,FALSE,,,,,0,0,,
2025/5/3,2,表,1,2,1,TRUE,FALSE,FALSE,大槇優斗,右,架谷　岳,右,ストレート,,12,1,空振,FALSE,空三振,,,,1,0,,
2025/5/3,2,表,0,0,2,TRUE,FALSE,FALSE,大槇優斗,右,苅安　陸,右,ストレート,,3,1,インプレー,FALSE,,凡打,フライ,中,1,0,,K7
2025/5/3,2,裏,0,0,0,FALSE,FALSE,FALSE,蔵口　敦,右,今岡歩夢,左,カーブ,,11,3,ボール,FALSE,,,,,0,0,,
2025/5/3,2,裏,1,0,0,FALSE,FALSE,FALSE,蔵口　敦,右,今岡歩夢,左,スライダー,,4,1,見送,FALSE,,,,,0,0,,
2025/5/3,2,裏,1,1,0,FALSE,FALSE,FALSE,蔵口　敦,右,今岡歩夢,左,ストレート,,7,3,ファール,FALSE,,,,,0,0,,
2025/5/3,2,裏,1,2,0,FALSE,FALSE,FALSE,蔵口　敦,右,今岡歩夢,左,チェンジ,,13,1,インプレー,FALSE,,凡打,ゴロ,二,1,0,,V2
2025/5/3,2,裏,0,0,1,FALSE,FALSE,FALSE,蔵口　敦,右,岸田脩汰,右,ストレート,,3,1,ファール,FALSE,,,,,0,0,,
2025/5/3,2,裏,0,1,1,FALSE,FALSE,FALSE,蔵口　敦,右,岸田脩汰,右,ストレート,,6,1,見送,FALSE,,,,,0,0,,
2025/5/3,2,裏,0,2,1,FALSE,FALSE,FALSE,蔵口　敦,右,岸田脩汰,右,チェンジ,,14,1,ボール,FALSE,,,,,0,0,,
2025/5/3,2,裏,1,2,1,FALSE,FALSE,FALSE,蔵口　敦,右,岸田脩汰,右,スライダー,,14,1,空振,FALSE,空三振,,,,1,0,,
2025/5/3,2,裏,2,0,2,FALSE,FALSE,FALSE,蔵口　敦,右,駒田隼大,左,スライダー,,2,1,見送,FALSE,,,,,0,0,,
2025/5/3,2,裏,2,1,2,FALSE,FALSE,FALSE,蔵口　敦,右,駒田隼大,左,ストレート,,7,3,インプレー,FALSE,,単打,ゴロ,左,0,0,,G3
