Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
2025/5/11,1,表,0,0,0,FALSE,FALSE,FALSE,西川大智,-,藤田海輝,-,スライダー,,13,0,ボール,FALSE,,,,,0,0,,
2025/5/11,1,表,1,0,0,FALSE,FALSE,FALSE,西川大智,左,藤田海輝,右,ストレート,,5,0,インプレー,FALSE,,凡打,ゴロ,三,1,0,,
2025/5/11,1,表,0,0,1,FALSE,FALSE,FALSE,西川大智,左,草野友雅,左,ストレート,,7,3,見送,FALSE,,,,,0,0,,
2025/5/11,1,表,0,1,1,FALSE,FALSE,FALSE,西川大智,左,草野友雅,左,カーブ,,8,0,インプレー,FALSE,,凡打,ゴロ,一,1,0,,
2025/5/11,1,表,0,0,2,FALSE,FALSE,FALSE,西川大智,左,中村康太,右,スライダー,,9,0,見送,FALSE,,,,,0,0,,
2025/5/11,1,表,0,1,2,FALSE,FALSE,FALSE,西川大智,左,中村康太,右,カーブ,,8,0,見送,FALSE,,,,,0,0,,
2025/5/11,1,表,0,2,2,FALSE,FALSE,FALSE,西川大智,左,中村康太,右,カーブ,,14,0,ボール,FALSE,,,,,0,0,,
2025/5/11,1,表,1,2,2,FALSE,FALSE,FALSE,西川大智,左,中村康太,右,ストレート,,9,0,ファール,FALSE,,,,,0,0,,
2025/5/11,1,表,1,2,2,FALSE,FALSE,FALSE,西川大智,左,中村康太,右,スライダー,,3,0,インプレー,FALSE,,凡打,ライナー,一,1,0,,
2025/5/11,1,裏,0,0,0,FALSE,FALSE,FALSE,的場洸稀,右,吉田悠河,左,ストレート,,13,0,ボール,FALSE,,,,,0,0,,
2025/5/11,1,裏,1,0,0,FALSE,FALSE,FALSE,的場洸稀,右,吉田悠河,左,ストレート,,14,0,ボール,FALSE,,,,,0,0,,
2025/5/11,1,裏,2,0,0,FALSE,FALSE,FALSE,的場洸稀,右,吉田悠河,左,ストレート,,7,0,見送,FALSE,,,,,0,0,,
2025/5/11,1,裏,2,1,0,FALSE,FALSE,FALSE,的場洸稀,右,吉田悠河,左,ストレート,,11,0,ボール,FALSE,,,,,0,0,,
2025/5/11,1,裏,3,1,0,FALSE,FALSE,FALSE,的場洸稀,右,吉田悠河,左,ストレート,,14,0,ボール,FALSE,四球,,,,0,0,,
2025/5/11,1,裏,0,0,0,TRUE,FALSE,FALSE,的場洸稀,右,中野栞汰,左,ストレート,,13,0,ボール,FALSE,,,,,0,0,,
2025/5/11,1,裏,1,0,0,TRUE,FALSE,FALSE,的場洸稀,右,中野栞汰,左,ストレート,,11,0,ボール,FALSE,,,,,0,0,,
2025/5/11,1,裏,2,0,0,TRUE,FALSE,FALSE,的場洸稀,右,中野栞汰,左,スライダー,,4,0,見送,FALSE,,,,,0,0,,
2025/5/11,1,裏,2,1,0,TRUE,FALSE,FALSE,的場洸稀,右,中野栞汰,左,ストレート,,7,0,ファール,FALSE,,,,,0,0,,
2025/5/11,1,裏,2,2,0,TRUE,FALSE,FALSE,的場洸稀,右,中野栞汰,左,ストレート,,11,0,ファール,FALSE,,,,,0,0,,
2025/5/11,1,裏,2,2,0,TRUE,FALSE,FALSE,的場洸稀,右,中野栞汰,左,スライダー,,7,0,ファール,FALSE,,,,,0,0,,
2025/5/11,1,裏,2,2,0,TRUE,FALSE,FALSE,的場洸稀,右,中野栞汰,左,ストレート,,11,0,ファール,FALSE,,,,,0,0,,
2025/5/11,1,裏,2,2,0,TRUE,FALSE,FALSE,的場洸稀,右,中野栞汰,左,ストレート,,11,0,ボール,FALSE,,,,,0,0,,
2025/5/11,1,裏,3,2,0,FALSE,FALSE,TRUE,的場洸稀,右,中野栞汰,左,ストレート,,11,0,ボール,FALSE,四球,,,,0,0,,
2025/5/11,1,裏,0,0,0,TRUE,FALSE,TRUE,的場洸稀,右,多賀健渡,右,ストレート,,7,0,見送,FALSE,,,,,0,0,,
2025/5/11,1,裏,0,1,0,FALSE,TRUE,TRUE,的場洸稀,右,多賀健渡,右,カーブ,,14,0,インプレー,FALSE,,失策,ゴロ,遊,0,1,,J2
2025/5/11,1,裏,0,0,0,FALSE,TRUE,TRUE,的場洸稀,右,大宗拓夢,右,ストレート,,14,0,ボール,FALSE,,,,,0,0,,
2025/5/11,1,裏,1,0,0,FALSE,TRUE,TRUE,的場洸稀,右,大宗拓夢,右,ストレート,,13,0,ボール,FALSE,,,,,0,0,,
2025/5/11,1,裏,1,0,0,FALSE,TRUE,TRUE,的場洸稀,右,大宗拓夢,右,ストレート,,13,0,ボール,FALSE,,,,,0,0,,
2025/5/11,1,裏,2,0,0,TRUE,FALSE,TRUE,的場洸稀,右,大宗拓夢,右,ストレート,,3,0,インプレー,FALSE,,三塁打,ライナー,右,1,2,,
2025/5/11,1,裏,0,0,1,FALSE,FALSE,FALSE,與　賢史朗,右,彦田瑛太,右,カーブ,,6,0,見送,FALSE,,,,,0,0,,
2025/5/11,1,裏,0,1,1,FALSE,FALSE,FALSE,與　賢史朗,右,彦田瑛太,右,ストレート,,9,0,インプレー,FALSE,,凡打,フライ,右,1,0,,
