Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
2025/5/17,1,裏,0,0,0,FALSE,FALSE,FALSE,吉野京士郎,右,中野心惇,右,ストレート,,12,1,ボール,FALSE,,,,,0,0,,
2025/5/17,1,裏,1,0,0,FALSE,FALSE,FALSE,吉野京士郎,右,中野心惇,右,ストレート,,13,0,ボール,FALSE,,,,,0,0,,
2025/5/17,1,裏,2,0,0,FALSE,FALSE,FALSE,吉野京士郎,右,中野心惇,右,ストレート,,2,1,ファール,FALSE,,,,,0,0,,
2025/5/17,1,裏,2,1,0,FALSE,FALSE,FALSE,吉野京士郎,右,中野心惇,右,ストレート,,3,1,ファール,FALSE,,,,,0,0,,
2025/5/17,1,裏,1,0,1,FALSE,TRUE,FALSE,吉野京士郎,右,中野心惇,右,ストレート,,7,3,インプレー,FALSE,,凡打,フライ,左,1,0,,G6
2025/5/17,1,裏,0,0,2,FALSE,TRUE,FALSE,吉野京士郎,右,中野心惇,右,スライダー,,7,3,空振,FALSE,,,,,0,0,,
2025/5/17,1,裏,0,1,2,FALSE,TRUE,FALSE,吉野京士郎,右,中野心惇,右,スライダー,,13,3,ボール,FALSE,,,,,0,0,,
2025/5/17,1,裏,0,0,1,FALSE,TRUE,FALSE,吉野京士郎,右,前谷内琉斗,左,スライダー,,11,3,ボール,FALSE,,,,,0,0,,
2025/5/17,1,裏,2,0,0,TRUE,FALSE,FALSE,吉野京士郎,右,前谷内琉斗,左,ストレート,,5,1,インプレー,FALSE,,犠打,ゴロ,投,1,0,,
2025/5/17,1,裏,1,0,0,TRUE,FALSE,FALSE,吉野京士郎,右,細川太志,左,ストレート,,14,3,ボール,FALSE,,,,,0,0,,
2025/5/17,1,裏,0,0,0,TRUE,FALSE,FALSE,吉野京士郎,右,細川太志,左,ストレート,,13,3,ボール,FALSE,,,,,0,0,,
2025/5/17,1,裏,2,2,0,FALSE,FALSE,FALSE,吉野京士郎,右,細川太志,左,ストレート,,2,1,インプレー,FALSE,,単打,ゴロ,中,0,0,,L3
2025/5/17,1,裏,1,0,0,FALSE,FALSE,FALSE,吉野京士郎,右,山本翔士,左,フォーク,,7,3,ファール,FALSE,,,,,0,0,,
2025/5/17,1,裏,1,1,2,FALSE,FALSE,FALSE,吉野京士郎,右,山本翔士,左,ストレート,,2,1,ファール,FALSE,,,,,0,0,,
2025/5/17,1,裏,2,2,2,FALSE,FALSE,FALSE,吉野京士郎,右,山本翔士,左,ストレート,,14,1,ボール,FALSE,,,,,0,0,,
2025/5/17,1,裏,3,2,2,FALSE,FALSE,FALSE,吉野京士郎,右,山本翔士,左,スライダー,,13,0,インプレー,FALSE,,凡打,ゴロ,遊,1,0,,J3
2025/5/17,2,表,0,0,0,FALSE,FALSE,FALSE,蔵口　敦,右,亀澤祐貴,右,ストレート,,14,1,空振,FALSE,,,,,0,0,,
2025/5/17,2,表,0,1,0,FALSE,FALSE,FALSE,蔵口　敦,右,亀澤祐貴,右,スライダー,,14,1,ボール,FALSE,,,,,0,0,,
2025/5/17,2,表,1,1,0,FALSE,FALSE,FALSE,蔵口　敦,右,亀澤祐貴,右,ストレート,,14,1,ボール,FALSE,,,,,0,0,,
2025/5/17,2,表,2,1,0,FALSE,FALSE,FALSE,蔵口　敦,右,亀澤祐貴,右,スライダー,,11,1,ボール,FALSE,,,,,0,0,,
