Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
2025/5/17,1,表,0,0,0,FALSE,FALSE,FALSE,濵名壱晴,右,吉田悠河,左,ストレート,,4,0,ファール,FALSE,,,,,0,0,,
2025/5/17,1,表,0,1,0,FALSE,FALSE,FALSE,濵名壱晴,右,吉田悠河,左,ストレート,,5,1,見送,FALSE,,,,,0,0,,
2025/5/17,1,表,0,2,0,FALSE,FALSE,FALSE,濵名壱晴,右,吉田悠河,左,フォーク,,13,3,ボール,FALSE,,,,,0,0,,
2025/5/17,1,表,1,2,0,FALSE,FALSE,FALSE,濵名壱晴,右,吉田悠河,左,ストレート,,4,1,ファール,FALSE,,,,,0,0,,
2025/5/17,1,表,1,2,0,FALSE,FALSE,FALSE,濵名壱晴,右,吉田悠河,左,スライダー,,1,1,空振,FALSE,空三振,,,,1,0,,
2025/5/17,1,表,0,0,1,FALSE,FALSE,FALSE,濵名壱晴,右,中野栞汰,左,ストレート,,7,0,見送,FALSE,,,,,0,0,,
2025/5/17,1,表,0,1,1,FALSE,FALSE,FALSE,濵名壱晴,右,中野栞汰,左,スライダー,,11,1,ボール,FALSE,,,,,0,0,,
2025/5/17,1,表,1,1,1,FALSE,FALSE,FALSE,濵名壱晴,右,中野栞汰,左,ストレート,,7,3,見送,FALSE,,,,,0,0,,
2025/5/17,1,表,1,2,1,FALSE,FALSE,FALSE,濵名壱晴,右,中野栞汰,左,ストレート,,9,1,見送,FALSE,見三振,,,,1,0,,
2025/5/17,1,表,0,0,2,FALSE,FALSE,FALSE,濵名壱晴,右,多賀健渡,右,スライダー,,11,1,ボール,FALSE,,,,,0,0,,
2025/5/17,1,表,1,0,2,FALSE,FALSE,FALSE,濵名壱晴,右,多賀健渡,右,スライダー,,12,1,ボール,FALSE,,,,,0,0,,
2025/5/17,1,表,2,0,2,FALSE,FALSE,FALSE,濵名壱晴,右,多賀健渡,右,ストレート,,11,3,ボール,FALSE,,,,,0,0,,
2025/5/17,1,表,3,0,2,FALSE,FALSE,FALSE,濵名壱晴,右,多賀健渡,右,ストレート,,8,1,見送,FALSE,,,,,0,0,,
2025/5/17,1,表,3,1,2,FALSE,FALSE,FALSE,濵名壱晴,右,多賀健渡,右,ストレート,,11,1,ボール,FALSE,四球,,,,0,0,,
2025/5/17,1,表,0,0,2,TRUE,FALSE,FALSE,濵名壱晴,右,大宗拓夢,右,ストレート,,9,1,見送,FALSE,,,,,0,0,,
2025/5/17,1,表,0,1,2,TRUE,FALSE,FALSE,濵名壱晴,右,大宗拓夢,右,スライダー,,14,1,ボール,FALSE,,,,,0,0,,
2025/5/17,1,表,1,1,2,TRUE,FALSE,FALSE,濵名壱晴,右,大宗拓夢,右,ストレート,,8,3,インプレー,FALSE,,凡打,フライ,二,1,0,,
2025/5/17,1,裏,0,0,0,FALSE,FALSE,FALSE,吉田唯登,右,山本優人,右,ストレート,,4,1,見送,FALSE,,,,,0,0,,
2025/5/17,1,裏,0,1,0,FALSE,FALSE,FALSE,吉田唯登,右,山本優人,右,スライダー,,8,0,インプレー,FALSE,,凡打,ゴロ,投,1,0,,
2025/5/17,1,裏,0,0,1,FALSE,FALSE,FALSE,吉田唯登,右,竹田龍汰,右,スライダー,,14,1,ボール,FALSE,,,,,0,0,,
2025/5/17,1,裏,1,0,1,FALSE,FALSE,FALSE,吉田唯登,右,竹田龍汰,右,ストレート,,6,1,見送,FALSE,,,,,0,0,,
