Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
2025/5/18,1,表,0,0,0,FALSE,FALSE,FALSE,中本伸太朗,右,三島袈夢,左,ストレート,,14,0,ボール,FALSE,,,,,0,0,,
2025/5/18,1,表,1,0,0,FALSE,FALSE,FALSE,中本伸太朗,右,三島袈夢,左,ストレート,,13,0,ボール,FALSE,,,,,0,0,,
2025/5/18,1,表,2,0,0,FALSE,FALSE,FALSE,中本伸太朗,右,三島袈夢,左,ストレート,,8,0,インプレー,FALSE,,単打,ゴロ,中,0,0,,P3
2025/5/18,1,表,0,0,0,FALSE,FALSE,FALSE,中本伸太朗,右,角尾頼尊,右,カーブ,,14,0,ボール,FALSE,,,,,0,0,,
2025/5/18,1,表,1,0,0,FALSE,TRUE,FALSE,中本伸太朗,右,角尾頼尊,右,スライダー,,4,0,ファール,FALSE,,,,,0,0,,
2025/5/18,1,表,1,1,0,FALSE,TRUE,FALSE,中本伸太朗,右,角尾頼尊,右,カーブ,,6,0,見送,FALSE,,,,,0,0,,
2025/5/18,1,表,1,2,0,FALSE,TRUE,FALSE,中本伸太朗,右,角尾頼尊,右,ストレート,,14,0,ボール,FALSE,,,,,0,0,,
2025/5/18,1,表,2,2,0,FALSE,FALSE,TRUE,中本伸太朗,右,角尾頼尊,右,ストレート,,14,0,ボール,FALSE,,,,,0,0,,
2025/5/18,1,表,3,2,1,FALSE,FALSE,TRUE,中本伸太朗,右,角尾頼尊,右,ストレート,,5,0,ファール,FALSE,,,,,0,0,,
2025/5/18,1,表,3,2,1,FALSE,FALSE,TRUE,中本伸太朗,右,角尾頼尊,右,カーブ,,6,0,インプレー,FALSE,,凡打,ゴロ,二,1,1,,Q3
2025/5/18,1,表,0,0,2,FALSE,FALSE,FALSE,中本伸太朗,右,南　早羽己,左,スライダー,,2,0,ファール,FALSE,,,,,0,0,,
2025/5/18,1,表,0,1,2,FALSE,FALSE,FALSE,中本伸太朗,右,南　早羽己,左,スライダー,,4,0,インプレー,FALSE,,単打,ゴロ,投,0,0,,K3
2025/5/18,1,表,0,0,2,TRUE,FALSE,FALSE,中本伸太朗,右,岸田脩汰,右,ストレート,,14,0,ボール,FALSE,,,,,0,0,,
2025/5/18,1,表,1,0,2,TRUE,FALSE,FALSE,中本伸太朗,右,岸田脩汰,右,スライダー,,4,0,ファール,FALSE,,,,,0,0,,
2025/5/18,1,表,1,1,2,TRUE,FALSE,FALSE,中本伸太朗,右,岸田脩汰,右,ストレート,,6,0,インプレー,FALSE,,凡打,ゴロ,遊,1,0,,S3
2025/5/18,1,裏,0,0,0,FALSE,FALSE,FALSE,水谷光希,右,渡部千博,左,ストレート,,4,0,見送,FALSE,,,,,0,0,,
2025/5/18,1,裏,0,1,0,FALSE,FALSE,FALSE,水谷光希,右,渡部千博,左,ストレート,,3,0,インプレー,FALSE,,単打,ライナー,中,0,0,,M4
2025/5/18,1,裏,0,0,0,TRUE,FALSE,FALSE,水谷光希,右,池邉由伸,左,ストレート,,6,0,インプレー,FALSE,,凡打,ゴロ,一,1,0,,W2
2025/5/18,1,裏,0,0,1,FALSE,TRUE,FALSE,水谷光希,右,佐藤隼太,右,スライダー,,4,0,インプレー,FALSE,,凡打,フライ,左,1,0,,H5
2025/5/18,1,裏,0,0,2,FALSE,TRUE,FALSE,水谷光希,右,髙松紳志,左,ストレート,,4,0,ファール,FALSE,,,,,0,0,,
2025/5/18,1,裏,0,1,2,FALSE,TRUE,FALSE,水谷光希,右,髙松紳志,左,ストレート,,11,0,ボール,FALSE,,,,,0,0,,
2025/5/18,1,裏,1,1,2,FALSE,TRUE,FALSE,水谷光希,右,髙松紳志,左,ストレート,,2,0,インプレー,FALSE,,単打,ゴロ,中,0,1,,M3
2025/5/18,1,裏,0,0,2,FALSE,TRUE,FALSE,水谷光希,右,伊藤航太,左,ストレート,,8,0,空振,FALSE,,,,,0,0,,
2025/5/18,1,裏,0,1,2,FALSE,TRUE,FALSE,水谷光希,右,伊藤航太,左,シュート,,13,0,ボール,FALSE,,,,,0,0,,
2025/5/18,1,裏,1,1,2,FALSE,TRUE,FALSE,水谷光希,右,伊藤航太,左,シュート,,14,0,ボール,FALSE,,,,,0,0,,
2025/5/18,1,裏,2,1,2,FALSE,TRUE,FALSE,水谷光希,右,伊藤航太,左,ストレート,,5,0,見送,FALSE,,,,,0,0,,
2025/5/18,1,裏,2,2,2,FALSE,TRUE,FALSE,水谷光希,右,伊藤航太,左,ストレート,,9,0,ファール,FALSE,,,,,0,0,,
